embedding_size,hidden_size,concept_size,nlayers,dropout,test_loss,test_acc,val_loss,val_acc,best_epoch
70,852,35,2,0.11052268163082629,4.020767457642179,0.2528554636228995,4.074614438118251,0.247499601428871,1
179,57,7,3,0.205965047429373,3.9623759310751803,0.26895093705624795,4.053368713935678,0.25869850824844276,2
4,685,59,2,0.2947909326073573,4.183594498043723,0.23076995758427118,4.260106132821285,0.22525793766886512,2
908,598,1,2,0.1439672204836232,4.006151776087786,0.2627381663336976,4.0540037674753755,0.25373373538006866,3
382,280,2,1,0.4710831164277498,3.967474009349504,0.26865677656552844,4.04329196387559,0.24740044589134835,3
8,137,6,4,0.21430090617614317,3.995512301799211,0.26412815072452733,4.0737236220220785,0.2527670365105464,6
396,385,2,3,0.06487814885258997,4.003012055076076,0.2598598181991528,4.046818370508927,0.2536252045047521,1
6,570,10,1,0.27398764604650333,4.014909556656184,0.24920647906498639,4.10639238050748,0.24919456555187777,9
104,467,22,3,0.08912363328507167,3.9851875557713914,0.2587547910595795,4.036720289055172,0.25260330154439714,2
15,184,7,2,0.47786992054409294,3.9812376030839567,0.2670007459968489,4.077166867654733,0.2471910359461474,8
4,756,97,2,0.331747426304512,4.214870658830672,0.24353108376247207,4.292727304346859,0.22532713611082011,5
977,36,11,3,0.11604947917788588,3.930331701786813,0.27075074109529185,4.0181367311387755,0.2547486838781348,4
629,819,6,2,0.0950477068006686,4.016143060863463,0.2569566850010462,4.080442562124907,0.25142295991846614,2
222,102,13,1,0.06282395591673401,3.9992918877873374,0.25040469212711336,4.06669113443028,0.2429593374042878,2
30,48,10,3,0.03527681738334898,3.986578564429687,0.2612261619695175,4.053917799172069,0.2546640814327703,4
25,877,8,2,0.15396510483114695,3.997832912876937,0.26669944015632,4.078016174316832,0.2561967100094722,3
33,151,12,4,0.06232372594600821,3.9805117981218365,0.2621504315160164,4.0538445122171884,0.24947440129185,4
32,133,80,3,0.43212758774667054,3.975771262608686,0.2618822555243581,4.0669875240012034,0.25248446952519255,5
5,89,76,1,0.46458118143420846,4.080049310387236,0.2456767797178583,4.15126170708083,0.24423179516492682,10
18,778,74,4,0.3741604473381974,4.050917386107168,0.24816866975656873,4.117211747795057,0.24571917703193066,3
4,81,52,4,0.3429038676862084,4.058529750736532,0.2520588712920488,4.1514133168243985,0.24478122762162083,11
10,742,93,2,0.20963417424508746,4.004919653988838,0.2665027479468633,4.098033589357548,0.25542780533891546,5
979,704,45,4,0.1618720757416353,3.997024592835663,0.25887011646878605,4.059941563953048,0.2532661833923525,4
58,63,11,1,0.4315626782827225,3.9526412589860103,0.27265146755401326,4.050140313293331,0.25342048330966,5
4,187,26,2,0.23295764238849148,4.011625295816643,0.25493434030086626,4.09124091893536,0.2531098787297826,8
4,698,2,4,0.04985131746282012,4.610025260881264,0.20064390747684413,4.641688564794319,0.1756286781441184,1
33,649,5,4,0.40900988104550146,4.02553802516505,0.26269900278883546,4.096290571035182,0.25498138986349056,5
5,351,2,2,0.21752295659570475,4.045594731665662,0.25127297962982703,4.11649147837355,0.24576862913378003,8
4,35,2,4,0.17303388037933748,4.04493810845502,0.25415095767012996,4.114989304472936,0.2497595698938162,7
6,425,7,3,0.27008020908126207,4.042052223995623,0.24149165512381562,4.117610893126793,0.2488283143052917,8
6,853,7,4,0.0986494593154919,4.052892112138422,0.25337980783180913,4.115927960843965,0.2500158508334746,7
4,713,2,4,0.0368026437036842,4.056356087247384,0.2526946436368241,4.117725153407564,0.24604714205120204,8
720,559,22,2,0.23264490448817216,3.979721688586395,0.25494889442865976,4.056776918301695,0.2417932772303017,1
7,170,13,2,0.4370970849757754,4.034201391284481,0.26208072326176907,4.125560122167403,0.24721055989050242,6
8,72,6,3,0.09204846300170966,3.9910147975817445,0.26816082096387445,4.064383583314284,0.2581000946033909,4
725,71,7,2,0.15021404851521475,3.9539480468775583,0.2645340512565074,4.001060243364642,0.2532714773249001,2
7,187,15,2,0.366258966205722,4.035290070269829,0.2573559042405091,4.121053574964259,0.2483738144812185,5
7,613,12,4,0.12452495148461251,4.587913208866868,0.20064390747684413,4.650139237349302,0.1756286781441184,2
946,223,2,4,0.28935759977199416,3.9795026828890294,0.2709645940260566,4.060408351761714,0.255503281513977,1
161,104,2,2,0.17564626634332997,3.966826949007782,0.26561698821591695,4.037439474644626,0.2552369110847208,2
40,47,8,4,0.42973367811385776,3.997588142520437,0.26012802950336544,4.0743032021195065,0.24599873450033072,7
6,595,11,4,0.26502208461075943,4.041243775764054,0.24055939325121697,4.132382186691596,0.24282478250425016,6
7,136,17,2,0.42585075509548526,4.006456269153003,0.2639697880388206,4.09604525830779,0.2502243361873514,11
108,33,43,1,0.38302237153278657,3.9452848764426673,0.2744424346630152,4.03091135708133,0.25949269947021536,6
10,133,11,2,0.4803151256000454,4.037641561813282,0.25183370662792504,4.1071062773249425,0.2475488633693261,8
30,33,7,3,0.41570070979527296,4.01560818813689,0.25775239807065026,4.097875607923228,0.2481253989118299,5
215,36,17,1,0.1345035824504377,3.964538932773242,0.25837645392313097,4.014534192488091,0.252938109292048,4
7,205,11,2,0.24885125186664447,3.99923781754648,0.25869249735623917,4.0955296151331275,0.24620820124240608,5
10,541,9,4,0.02759984454042208,4.051385977871692,0.25428383744231603,4.098268006350996,0.2545936235715602,5
26,66,3,2,0.048511440268306616,3.9802942111189106,0.2597942868654712,4.044344180669086,0.2534572850463713,3
