embedding_size,hidden_size,concept_size,nlayers,dropout,test_loss,test_acc,val_loss,val_acc,best_epoch
104,718,61,4,0.017944792808426646,3.694244651522559,0.2816561609590714,3.7504243231143475,0.27413164852033844,3
185,118,12,3,0.09692510894147416,3.657586809369719,0.2896266788077037,3.7159987146744724,0.27767180327558544,4
18,386,38,4,0.38762244699718135,3.7169999348362373,0.27918850031220255,3.7825800813283954,0.2688047381931476,6
4,47,33,1,0.12740300697107337,3.7221863144292846,0.27952632830425034,3.7858851314551663,0.26813571303702644,17
464,860,15,1,0.3851259665692001,3.683990545753187,0.28139182588318445,3.7413298432489857,0.27096182484584286,9
61,285,49,2,0.24897003665365258,3.6794752130435873,0.28510569281888704,3.7283712816277585,0.27478358426856325,4
173,305,4,1,0.3857225691792814,3.6720640832206484,0.28231616179900887,3.720531564487026,0.2727403356820091,5
57,100,12,2,0.1552557750231487,3.6647202988341268,0.2866308190655431,3.7078722075001873,0.27663810434542774,4
129,220,5,2,0.1289872929325926,3.672324326924464,0.29075392067847167,3.7223469303026397,0.27712787683073997,3
100,56,17,4,0.07819585925547362,3.7107430975381908,0.2860410268855684,3.7717570558140725,0.27339591051046114,2
4,58,37,2,0.16049739972717258,3.743701219381965,0.27385400349850425,3.8099638947785173,0.26086555395724803,9
4,72,41,2,0.19486145639214117,3.7827571537312226,0.2704583321977109,3.847480966573025,0.26257367086435096,5
4,88,46,3,0.22995612331312879,3.8150229903188086,0.26518835947562147,3.875647442704526,0.2531702700088155,4
4,88,58,4,0.25052313984435803,3.802045543628684,0.26498703988594874,3.867117123610901,0.2588687791503336,8
111,101,60,2,0.26112968960785543,3.6510251839930206,0.2867753407087947,3.6976922003995027,0.2782959610720855,6
53,129,52,2,0.36008167024938875,3.6698123642286826,0.277995649213557,3.714312133410711,0.2729661576344074,8
349,32,3,1,0.4995940092699142,3.7444140613438095,0.2683547810157522,3.7950721345845646,0.2613873880797514,8
71,156,38,3,0.23858548614147806,3.675528761179675,0.28657044976736035,3.7289632501406533,0.2771376100401517,4
313,294,9,3,0.049791669164492514,3.665411446820255,0.28684111288597847,3.7245965382903212,0.2783763290782601,3
12,112,3,4,0.13564273743786165,3.701334086036748,0.2823774003995499,3.7622397058482733,0.2745479051225273,7
147,829,25,1,0.2543732655869712,3.693606280099903,0.283720662213215,3.744912436626884,0.2728391978076893,4
870,47,28,3,0.48658177090897864,3.712011212307506,0.2789815479185224,3.7666122833448936,0.27228505235156064,9
238,228,11,2,0.4509507452851261,3.668307471624613,0.28366436567970177,3.7251630284507926,0.2737951826025527,5
466,495,9,3,0.10683516527537434,3.6762769908714943,0.28845887095107425,3.7259765877699564,0.2756449193007695,3
25,108,17,3,0.03455997571008068,3.683976672516656,0.28617568944653576,3.7244776239693067,0.2769353594803615,5
20,423,10,3,0.10368079583127454,3.724785122691796,0.28443866659669753,3.800271120500631,0.2720266487433028,2
91,33,42,3,0.3173039166098596,3.6943900347967125,0.2810926282690964,3.7561836282648797,0.2723927371139347,7
87,92,15,2,0.4996502546876836,3.699444940340985,0.276002794657065,3.755490609192282,0.26904440605718777,6
912,43,48,1,0.3164590333573716,3.740792545476056,0.26870900066095954,3.7905502516210765,0.25982815624898803,9
831,367,62,4,0.3814983615929592,3.711361336296119,0.2801637047509286,3.7631002056842178,0.2719781863167333,2
254,72,23,4,0.17431796143746103,3.6698915947096515,0.28846145927460143,3.721068012284238,0.2785842016560348,6
103,77,26,4,0.08312006158251439,3.676112803085364,0.28797769433893,3.7249822935227033,0.2762894604456544,5
6,141,13,3,0.3945447926624502,3.7619143529403187,0.26183227808761933,3.826392661204143,0.2557568991681921,8
12,178,20,1,0.22285243132586052,3.708884938751833,0.27988812936195606,3.7665764513631257,0.2710627290984704,6
15,154,31,1,0.17317772172837337,3.6968260843464607,0.28285660689811953,3.7510707602621283,0.27590880723020333,5
54,356,3,4,0.3152734481048547,3.7038541529436375,0.2848132709332553,3.7560862282278085,0.2741124421121381,5
25,98,1,4,0.4417711509714973,3.729877277996205,0.2743067636558801,3.792384588013989,0.2640883496952808,5
151,814,23,4,0.4263041842795967,3.727439819468436,0.27514520629340494,3.7818887468416627,0.26837929900809887,3
168,399,55,1,0.3942124052846511,3.655330610228269,0.2806087145055936,3.7116786847502334,0.27334795267832124,9
346,227,3,2,0.1739688438563779,3.658637323035094,0.29053079139499594,3.712289508365503,0.27602037433978727,3
14,53,14,1,0.18456635243531622,3.6862705379834217,0.2845122673182146,3.744277044081352,0.2747350803081245,7
425,71,15,1,0.4683672092670652,3.6843610882792235,0.27520692862048884,3.7322828130459316,0.26755837944610406,14
7,126,7,4,0.1132336389093409,3.7199898990312534,0.2767263795513372,3.772518653321899,0.27256350667098717,10
4,663,9,1,0.4280814285694135,3.8998101116382653,0.2510430749632264,3.966378606116579,0.241828846516991,9
205,58,11,1,0.01657351024595699,3.664795816653181,0.28364107360249574,3.7273299497839494,0.2715470803184899,4
6,154,53,4,0.4393392843639507,3.7818844959171334,0.26398665704780944,3.847038456764905,0.2574087041081032,9
43,46,3,3,0.35994797040808807,3.7067102530411873,0.27815792742572837,3.7666346944919797,0.2700944511869652,5
13,75,85,3,0.328848252282231,3.71004582239965,0.28016421367699545,3.7684079891638564,0.27099321186860437,12
9,814,8,1,0.24735552032975283,3.7584119846098503,0.2667094382711161,3.821076724157617,0.26236144467819444,7
7,882,1,1,0.13732488488182132,3.7526988305938116,0.2784811124667175,3.821378357535849,0.2600434867686841,8
