embedding_size,hidden_size,concept_size,nlayers,dropout,test_loss,test_acc,val_loss,val_acc,best_epoch
4,182,11,1,0.07105554272726927,3.7359749087859297,0.2778096958005288,3.8093278573063816,0.26361796470292614,7
13,136,4,1,0.17274932002520005,3.6923598325406286,0.2811105318856621,3.736970218387222,0.27388850186575275,8
10,672,78,1,0.3495536956993805,3.8004060611929082,0.2519354745638328,3.8667446071211704,0.24095118386075878,3
95,719,23,3,0.3512137120340276,3.703279191902969,0.28002213818206884,3.753805049656636,0.2727003134804805,7
34,355,46,2,0.47026220476332803,3.7335686553783214,0.27540715090508605,3.7842700075463576,0.26964285396582865,4
344,966,2,3,0.47275870848812035,3.688269749604277,0.2800447671756157,3.7459592947931784,0.27344630848975265,6
146,632,85,1,0.12155783765670425,3.6860486458291137,0.2883517992048287,3.7540176701713786,0.2723750874797764,3
507,740,34,2,0.23176735699202877,3.6636391240188684,0.2851468522157534,3.7157718664888315,0.2752697272810917,4
118,178,10,2,0.43520414821326553,3.68326341002881,0.2856143613071796,3.72836074829514,0.2764111520843047,5
11,346,27,4,0.01972740883713353,3.717253546151872,0.2824390561778719,3.7807173667935046,0.2700179778640404,4
4,735,94,1,0.3240738298529685,3.8381039767426284,0.2631453715993078,3.9004220655251203,0.24989397276544612,6
8,317,12,1,0.005725173360589031,3.7228060216880308,0.28332994797285543,3.7819008812327,0.27080443221480927,5
38,39,6,2,0.4119349137000494,3.7097253790560774,0.2775835464251527,3.764333248547438,0.2691654043262283,8
8,203,50,3,0.2732764786236256,3.7131746769991834,0.2772753151677231,3.774302073831932,0.2695259970095399,9
173,105,2,4,0.02391397256306127,3.667824838687362,0.28654932043773296,3.723582690691531,0.27404546818570713,5
7,35,80,2,0.32573618886441713,3.7728857774748077,0.26585125503951346,3.8378527973577654,0.2525371536564177,10
772,44,74,1,0.24389573504755563,3.7166969152524976,0.2797551759991888,3.782228386908925,0.26549542372597607,6
78,42,71,1,0.30359420047910385,3.6591376386076386,0.2867133408742436,3.7158990706596216,0.2755124557197351,8
6,811,2,4,0.07164227762079449,3.729235895394879,0.2765469061015061,3.7990119297387186,0.2679650298281721,5
98,976,21,4,0.4783473707505876,3.762215614146114,0.27753301263877367,3.8152974359714236,0.2685007344495448,5
5,366,62,2,0.1100729404413559,3.8159468001789407,0.2635401330154091,3.886375035404006,0.25254410992283316,4
4,519,83,1,0.11737842620952428,3.7524664382525312,0.27846787196608125,3.818978121706625,0.26233331195307985,7
31,79,92,2,0.06698656186429608,3.6660845725667683,0.28505239333076915,3.7208181527857462,0.2769615250051598,4
5,91,18,4,0.44463905119709074,3.794449717954538,0.2632745863961441,3.8565979925279072,0.2574260911980951,14
695,845,4,3,0.3940541615074652,3.7426566723713584,0.27233571139338864,3.7912072723753605,0.26911094164218313,1
441,477,5,1,0.48785437561889217,3.7310074145973298,0.27559694678983987,3.7963583112108426,0.26504715482431135,3
513,157,95,3,0.43499166796942396,3.65947118867632,0.28442305844700283,3.7107012856593844,0.27747982492461265,10
999,402,7,3,0.4559623223667925,3.679370446780503,0.28200792348209713,3.7277421524204803,0.27479323921825444,5
71,55,21,4,0.3385813260290629,3.7011753267960006,0.2821128542961655,3.758622075776299,0.2726018388313917,8
23,342,4,3,0.42350281277815005,3.7124137725890174,0.2772682770069498,3.7794293675868182,0.2680539695394129,5
78,132,7,3,0.3447393386142744,3.705860582539699,0.2860171474990217,3.7582312790531924,0.274092223058255,3
17,350,2,1,0.14656443693446525,3.67620115657032,0.2789805651369606,3.7380236600917676,0.2749208246561559,6
921,652,47,1,0.4331376144249111,3.7521613514612273,0.2671163031640903,3.8040942107072255,0.2593733217062763,4
109,546,1,3,0.32958963880297176,3.7051321382557854,0.2842503517348185,3.763312284116082,0.2752266518119359,2
57,51,1,3,0.006771107767348183,3.666660501459969,0.28702170298453883,3.7187780197631124,0.2772200102908653,4
602,93,4,1,0.4978808533766309,3.755966111087054,0.2709981178522429,3.806694667181598,0.2621624999610038,5
850,32,16,2,0.40809584895503376,3.68009725511644,0.27677441518113394,3.743488901498427,0.2696354059598049,8
564,69,5,4,0.2100311220290525,3.6790619792610277,0.2788905774126595,3.7330444132690364,0.2732363595067961,6
918,272,8,1,0.4779990507665751,3.75460559508574,0.26895901867962996,3.8104012805892746,0.2594434982509266,5
364,63,3,4,0.40064875493342994,3.689216187368579,0.279951630454321,3.7511590321744155,0.2717003198504467,8
45,541,20,2,0.10034598078501017,3.687465272248999,0.2854168692175216,3.742549982345475,0.27412302901048596,5
24,158,9,2,0.21516836303930092,3.6673091116814645,0.2851178890392726,3.7248244371166304,0.27621628283931915,8
40,150,2,2,0.11703810681535087,3.6642731961843005,0.28810788383161257,3.7085046334465805,0.2793566405035054,4
6,501,5,3,0.09251841575096442,3.7189774163278297,0.2798869625757899,3.7867546880040877,0.26915085383328513,6
13,876,1,1,0.27864913350804343,3.746288553617543,0.27821841902884814,3.8104393573668434,0.2651144941034046,6
523,421,6,1,0.2686656272206391,3.685942210571702,0.28488358329991703,3.754011386083591,0.2717169754093604,4
551,154,3,2,0.21574932849115042,3.646052625857511,0.29285612720446463,3.7027563209540015,0.28063690561978905,6
67,79,58,2,0.16003517255110578,3.6602685780786035,0.2872685706920092,3.716321022621511,0.2805624521868892,3
8,49,11,3,0.3995027739041802,3.7648487261327572,0.2651194455079255,3.8278373093775313,0.25977705601829265,8
50,38,4,4,0.2520667702352495,3.698110299450939,0.2819875277134506,3.7475615142719043,0.27407850789304083,10
