	seed	fold	length	none	onehot
0	0	0	5.315469064718664	3.9731328	3.9881728
1	0	1	5.260188547022242	3.7529843	3.7992156
2	0	2	5.78878022950428	3.731638	3.7676678
3	0	3	5.865892625510978	3.8896368	3.9247403
4	1	0	5.315469064718664	3.984929	3.9946053
5	1	1	5.260188547022242	3.775583	3.749404
6	1	2	5.78878022950428	3.7940736	3.7143316
7	1	3	5.865892625510978	3.8979607	3.8824382
8	2	0	5.315469064718664	3.9916172	3.9765897
9	2	1	5.260188547022242	3.7504358	3.779511
10	2	2	5.78878022950428	3.7717261	3.7262313
11	2	3	5.865892625510978	3.9082994	3.8950365
12	3	0	5.315469064718664	4.006411	3.960667
13	3	1	5.260188547022242	3.7826436	3.7718139
14	3	2	5.78878022950428	3.7593253	3.742779
15	3	3	5.865892625510978	3.9015205	3.8881662
16	4	0	5.315469064718664	3.9936757	3.9633236
17	4	1	5.260188547022242	3.7893434	3.7600987
18	4	2	5.78878022950428	3.7691147	3.739076
19	4	3	5.865892625510978	3.8815124	3.8817847
20	5	0	5.315469064718664	3.9937391	3.9869597
21	5	1	5.260188547022242	3.7729497	3.7552025
22	5	2	5.78878022950428	3.7456214	3.734873
23	5	3	5.865892625510978	3.8734934	3.8902063
24	6	0	5.315469064718664	3.9891133	3.9861023
25	6	1	5.260188547022242	3.765772	3.776879
26	6	2	5.78878022950428	3.7586088	3.7623737
27	6	3	5.865892625510978	3.9075406	3.9599028
28	7	0	5.315469064718664	4.0152044	4.070852
29	7	1	5.260188547022242	3.7583447	3.77407
30	7	2	5.78878022950428	3.733878	3.7610838
31	7	3	5.865892625510978	3.8917093	3.9297092
32	8	0	5.315469064718664	3.980422	3.9615102
33	8	1	5.260188547022242	3.7782862	3.7199209
34	8	2	5.78878022950428	3.7204325	3.733908
35	8	3	5.865892625510978	3.8805852	3.9025993
36	9	0	5.315469064718664	4.0044575	3.9712174
37	9	1	5.260188547022242	3.8059082	3.7711813
38	9	2	5.78878022950428	3.757105	3.7326021
39	9	3	5.865892625510978	3.9306908	3.8898814
40	10	0	5.315469064718664	4.000806	3.9676762
41	10	1	5.260188547022242	3.762783	3.7639935
42	10	2	5.78878022950428	3.7925897	3.7224746
43	10	3	5.865892625510978	3.9200895	3.8793988
44	11	0	5.315469064718664	4.0060043	3.9988585
45	11	1	5.260188547022242	3.7701201	3.7518897
46	11	2	5.78878022950428	3.7625499	3.728007
47	11	3	5.865892625510978	3.915018	3.8989131
48	12	0	5.315469064718664	3.9922504	3.976128
49	12	1	5.260188547022242	3.8004994	3.7542953
50	12	2	5.78878022950428	3.743686	3.7143502
51	12	3	5.865892625510978	3.9188461	3.8815749
52	13	0	5.315469064718664	3.9999862	3.9867873
53	13	1	5.260188547022242	3.7854083	3.7797358
54	13	2	5.78878022950428	3.7672231	3.7451646
55	13	3	5.865892625510978	3.8783836	3.9023495
56	14	0	5.315469064718664	3.9916124	3.9950297
57	14	1	5.260188547022242	3.7758956	3.7603762
58	14	2	5.78878022950428	3.7354407	3.73484
59	14	3	5.865892625510978	3.8794913	3.8787932
60	15	0	5.315469064718664	3.9845529	4.0083055
61	15	1	5.260188547022242	3.7556896	3.7398057
62	15	2	5.78878022950428	3.7439048	3.7244637
63	15	3	5.865892625510978	3.9137657	3.8868651
64	16	0	5.315469064718664	4.0341372	3.982636
65	16	1	5.260188547022242	3.7739532	3.7204378
66	16	2	5.78878022950428	3.7474792	3.733819
67	16	3	5.865892625510978	3.9180093	3.8910742
68	17	0	5.315469064718664	4.014357	3.990821
69	17	1	5.260188547022242	3.756696	3.7617593
70	17	2	5.78878022950428	3.7469862	3.7517862
71	17	3	5.865892625510978	3.881224	3.9061842
72	18	0	5.315469064718664	4.016773	3.9456894
73	18	1	5.260188547022242	3.7425337	3.8146374
74	18	2	5.78878022950428	3.7426262	3.745882
75	18	3	5.865892625510978	3.9073653	3.881863
76	19	0	5.315469064718664	4.018054	3.997941
77	19	1	5.260188547022242	3.7529593	3.7500687
78	19	2	5.78878022950428	3.7529275	3.766765
79	19	3	5.865892625510978	3.8903925	3.9196188
80	20	0	5.315469064718664	4.005344	3.9643943
81	20	1	5.260188547022242	3.759969	3.7499516
82	20	2	5.78878022950428	3.7880251	3.768588
83	20	3	5.865892625510978	3.8877602	3.8800323
84	21	0	5.315469064718664	3.9728012	3.9709852
85	21	1	5.260188547022242	3.779364	3.7594178
86	21	2	5.78878022950428	3.7606573	3.7235527
87	21	3	5.865892625510978	3.9390938	3.8777237
88	22	0	5.315469064718664	4.014806	3.988344
89	22	1	5.260188547022242	3.7797987	3.7840686
90	22	2	5.78878022950428	3.7489324	3.7490122
91	22	3	5.865892625510978	3.917664	3.8725784
92	23	0	5.315469064718664	3.9754167	3.9744205
93	23	1	5.260188547022242	3.7817235	3.7389612
94	23	2	5.78878022950428	3.7393866	3.7296972
95	23	3	5.865892625510978	3.9116683	3.8925192
96	24	0	5.315469064718664	4.0076413	3.9833553
97	24	1	5.260188547022242	3.823317	3.7826903
98	24	2	5.78878022950428	3.7725134	3.7373126
99	24	3	5.865892625510978	3.8930883	3.8722265
