concept_id	concept_name	language_id	length	none	onehot	mi-onehot	unc-onehot	p_value	n_permutations
0	I	3605.7585270404943	4.048617972299821	3.5741706950779775	3.426143236233158	0.14802745848272764	0.04579210902367565	0.0	100000
1	you	3693.335228423105	4.0995734250160725	3.6087260990147794	3.461116235414123	0.14760985985533448	0.04415114571883494	0.0	100000
2	we	3670.1460388712567	5.099255952207572	3.7045384616652823	3.7078300092876457	-0.003291549621256055	0.0008207056121004694	0.70666	100000
3	this	4086.885400122791	4.536186904060235	3.6572278846895223	3.617133590140055	0.04009429769385333	0.011799400814374637	0.00013	100000
4	that	4102.916357801704	4.815748367632688	3.7009607769299113	3.6786665397011684	0.02229422954589704	0.005479556352506295	0.00795	100000
5	who	4105.008318520053	5.16265143633798	3.6591938971161904	3.659986168092371	-0.0007922735974814936	0.0001452678367143518	0.55873	100000
6	what	4058.4577964138107	5.164365316746746	3.751278688943414	3.7591474277787658	-0.00786874386025556	-0.002496287210307993	0.90789	100000
7	not	3713.326162674103	4.762731568723664	3.731720022171974	3.722081188334383	0.009638820221826192	0.00285556261282468	0.26453	100000
8	all	3955.6239027455526	6.5719660460138725	3.9865667791532267	3.9537113079671986	0.03285548111087088	0.0062872314585096754	0.0	100000
9	many	4417.57512882443	6.311539195056773	3.861552635367235	3.8595959925983543	0.0019566330666763096	-0.0012928597181528921	0.40181	100000
10	one	4084.172257785777	5.719708099845725	3.8409611669661556	3.8627379116861307	-0.02177674330085351	-0.00636975760944527	1.0	100000
11	two	4116.095858977682	5.706203525975632	3.8411360893182676	3.8632003418594607	-0.022064255814002447	-0.006679060049451845	1.0	100000
12	big	4869.856357517589	5.9162969275929695	3.7844302846023634	3.7873323005528867	-0.0029020196899370194	-0.0015400021452301343	0.6862	100000
13	long	4219.134025138547	6.149380299531211	4.022018890185665	4.000733527575595	0.02128536076476792	0.0031630381917577763	0.00507	100000
14	small	4589.166174535514	6.721976454009067	4.024092056255843	3.999613467630492	0.024478594161913232	0.004480460296181059	0.00103	100000
15	woman	4603.378115040787	5.758248365080196	3.8788268625583013	3.8775027231192967	0.0013241379783264	-0.0010683090347140356	0.40298	100000
16	man	4511.16365535248	6.135907856209099	3.873452967210886	3.8810513509365556	-0.007598382714571082	-0.0030720092014382624	0.93031	100000
17	person	4033.209910143778	5.641982331555824	3.828951802921173	3.8473617346260793	-0.0184099335838655	-0.005722083625298165	1.0	100000
