concept_name	token	concept_id	token_idx	language_id	concept_id_train	none	onehot	mi-onehot	unc-onehot	macroarea_count	p_value	n_permutations	n_instances	significant-0.01	significant-0.05	significant-0.10
I	 	0.0	3.0	3637.0166666666664	0.0	8.46812466496513	8.603826410997481	-0.13570174603235152	-0.017252530862513347	4.0	0.8925025	100000.0	50	False	False	False
I	*	0.0	7.0	3587.143409688437	0.0	5.840617232836417	6.055857524642417	-0.21524029180600115	-0.04045380809852235	4.0	0.7508625	100000.0	194	False	False	False
I	3	0.0	8.0	3628.465431715872	0.0	5.525532094401691	5.7214969045565525	-0.19596481015486214	-0.04353537382315957	4.0	0.78735	100000.0	589	False	False	False
I	5	0.0	10.0	3601.8627848193973	0.0	7.276734272424423	7.138439953003373	0.13829431942105014	0.0206840063928856	4.0	0.0013499999999999999	100000.0	268	False	True	True
I	7	0.0	11.0	3560.865695871813	0.0	6.22615689574527	6.379207163922687	-0.1530502681774181	-0.020062970749238622	4.0	0.7499899999999999	100000.0	455	False	False	False
I	8	0.0	12.0	3565.1180555555557	0.0	9.182902581161924	10.284742719597286	-1.1018401384353638	-0.122320492621678	4.0	1.0	100000.0	18	False	False	False
I	C	0.0	13.0	3588.065178571429	0.0	6.798556108985628	7.4995409282900045	-0.7009848193043754	-0.10069959301647813	4.0	0.998095	100000.0	63	False	False	False
I	E	0.0	14.0	3581.626008704079	0.0	5.735880951111725	5.923426559655415	-0.18754560854369015	-0.0420450182361502	4.0	0.75	100000.0	430	False	False	False
I	EOW	0.0	2.0	3605.7585270404943	0.0	1.7807020795856636	1.0331663081077853	0.7475357714778779	0.4192396344104012	4.0	0.0	100000.0	7614	True	True	True
I	N	0.0	17.0	3695.5551779451657	0.0	5.892957354393485	5.711429895297992	0.18152745909549367	0.03154642070708947	4.0	0.49805	100000.0	888	False	False	False
I	T	0.0	19.0	3695.8750000000005	0.0	8.251478910446167	9.101955288648606	-0.8504763782024384	-0.10531493060854602	4.0	1.0	100000.0	34	False	False	False
I	X	0.0	20.0	3220.875	0.0	9.122915579213037	9.878896474838257	-0.7559808956252204	-0.08483564534526193	4.0	0.84381	100000.0	18	False	False	False
I	Z	0.0	21.0	3560.333333333333	0.0	9.430172324180603	10.570438077052433	-1.1402657528718312	-0.12107508643400798	4.0	0.9767525	100000.0	17	False	False	False
I	a	0.0	22.0	3615.177766203113	0.0	2.533910541323171	2.302067662457631	0.23184287886553967	0.09248815196132196	4.0	0.0	100000.0	4161	True	True	True
I	b	0.0	23.0	3515.3113151459984	0.0	5.444226864800469	6.626684861072571	-1.1824579962721011	-0.22568496624825785	4.0	1.0	100000.0	154	False	False	False
I	c	0.0	24.0	3542.5511389652015	0.0	6.736006513156079	7.302101210169084	-0.5660946970130061	-0.07661804459416065	4.0	1.0	100000.0	77	False	False	False
I	d	0.0	25.0	3590.688745608515	0.0	5.2661230770419545	6.061424784678273	-0.7953017076363185	-0.1556908213395342	4.0	1.0	100000.0	250	False	False	False
I	e	0.0	26.0	3578.031641118872	0.0	4.032266681654317	4.03655148482165	-0.004284803167332672	-0.0019186813644832493	4.0	0.69507	100000.0	1305	False	False	False
I	g	0.0	28.0	3603.280769653052	0.0	5.695982910955769	6.581661453961239	-0.8856785430054707	-0.16800841454425589	4.0	1.0	100000.0	263	False	False	False
I	h	0.0	29.0	3649.253540524617	0.0	5.634061605267849	6.343352660603971	-0.7092910553361216	-0.12132839428905812	4.0	1.0	100000.0	389	False	False	False
I	i	0.0	30.0	3604.0497708671305	0.0	3.2560958797293162	3.205243094356452	0.05085278537286436	0.02783980783875605	4.0	0.25	100000.0	2340	False	False	False
I	j	0.0	31.0	3757.7333829365084	0.0	7.2150657152372695	7.075106867580187	0.1399588476570826	0.025992240717290525	4.0	0.3265	100000.0	96	False	False	False
I	k	0.0	32.0	3613.8606567685533	0.0	4.150442925868353	4.823774963314187	-0.6733320374458347	-0.16238431732899658	4.0	1.0	100000.0	1047	False	False	False
I	l	0.0	33.0	3556.1267857142857	0.0	5.299506649233046	6.357865301200322	-1.0583586519672759	-0.20491163566708803	4.0	1.0	100000.0	81	False	False	False
I	m	0.0	34.0	3589.7723889436047	0.0	3.978266349238979	4.3210411582524255	-0.3427748090134457	-0.08463698775080862	4.0	0.9095225	100000.0	1420	False	False	False
I	n	0.0	35.0	3589.9255143571427	0.0	3.7356444964818047	3.2706722555699534	0.46497224091185146	0.12275025125390893	4.0	0.0	100000.0	2849	True	True	True
I	o	0.0	36.0	3586.208139852863	0.0	3.8484411647633774	4.079161200870649	-0.23072003610727104	-0.07245948121119701	4.0	1.0	100000.0	1269	False	False	False
I	p	0.0	37.0	3608.2108134920636	0.0	5.237166358128427	6.6939868035297545	-1.4568204454013278	-0.27883170779617533	4.0	1.0	100000.0	51	False	False	False
I	r	0.0	39.0	3677.5429786512505	0.0	4.596886644853631	5.578981377946179	-0.9820947330925472	-0.23081858050438073	4.0	1.0	100000.0	190	False	False	False
I	s	0.0	40.0	3558.3093530040223	0.0	5.055122523489077	5.955525256849717	-0.9004027333606401	-0.18559672540509903	4.0	0.883255	100000.0	172	False	False	False
I	t	0.0	41.0	3581.2755899830345	0.0	4.36881703569016	5.119732696359378	-0.7509156606692176	-0.17189162146163892	4.0	1.0	100000.0	317	False	False	False
I	u	0.0	42.0	3595.8059990933125	0.0	4.049302986105827	4.576507873184109	-0.5272048870782827	-0.14841255776875104	4.0	1.0	100000.0	1544	False	False	False
