,ID,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Continent,Family
1920,MAKWA_ALUA,Africa,-15,38.67,NA,vmw,NA,Atlantic-Congo
1921,MAKWA_ILE,Africa,-15,38.67,NA,vmw,NA,Atlantic-Congo
1922,MAKWA_MALEMA,Africa,-15,38.67,NA,vmw,NA,Atlantic-Congo
1923,MAKWA_NAMPULA,Africa,-15,38.67,NA,vmw,NA,Atlantic-Congo
1924,MALAWI_SENA,Africa,-16.62,34.99,NA,swk,NA,Atlantic-Congo
1925,MALILA,Africa,-9.25,33.35,NA,mgq,NA,Atlantic-Congo
1926,MAMA,Africa,8.81,8.79,NA,mma,NA,Atlantic-Congo
1927,MAMBILA,Africa,6.75,11.5,NA,mzk,NA,Atlantic-Congo
1928,MAMBILA_ATTA,Africa,6.75,11.5,NA,mcu,NA,Atlantic-Congo
1929,MAMBWE,Africa,-9.08,31.17,NA,mgr,NA,Atlantic-Congo
1930,MAMBWE_LUNGU,Africa,-9,31.2,NA,mgr,NA,Atlantic-Congo
1931,MAMBWE_LUNGU_2,Africa,-9,31.2,NA,mgr,NA,Atlantic-Congo
1932,MANDA_2,Africa,-10.5,34.7,NA,mgs,NA,Atlantic-Congo
1933,MANDI_CAMEROON,Africa,4.7,11.2,NA,lem,NA,Atlantic-Congo
1934,MANEHAS,Africa,4.78,9.77,NA,bqz,NA,Atlantic-Congo
1935,MANKON,Africa,6.2,10,NA,nge,NA,Atlantic-Congo
1936,MAORE,Africa,-12,44,NA,swb,NA,Atlantic-Congo
1937,MASABA,Africa,1.33,34.25,NA,myx,NA,Atlantic-Congo
1938,MASABA_2,Africa,1.05,34.3,NA,myx,NA,Atlantic-Congo
1939,MASHAMI,Africa,-3.15,37.1,NA,jmc,NA,Atlantic-Congo
1940,MASHAMI_2,Africa,-3.15,37.1,NA,jmc,NA,Atlantic-Congo
1941,MASHAMI_3,Africa,-3.15,37.1,NA,jmc,NA,Atlantic-Congo
1942,MASHAMI_4,Africa,-3.15,37.1,NA,jmc,NA,Atlantic-Congo
1943,MASHAMI_5,Africa,-3.15,37.1,NA,jmc,NA,Atlantic-Congo
1944,MASHAMI_6,Africa,-3.15,37.1,NA,jmc,NA,Atlantic-Congo
1945,MASHI_DRC,Africa,-2.5,28.5,NA,shr,NA,Atlantic-Congo
1946,MASHI_NIGERIA,Africa,6.9,10.25,NA,jms,NA,Atlantic-Congo
1947,MASHI_ZAMBIA,Africa,-16.5,22.5,NA,mho,NA,Atlantic-Congo
1948,MASHYOO,Africa,-3,18,NA,skt,NA,Atlantic-Congo
1949,MATENGO,Africa,-11,34.9,NA,mgv,NA,Atlantic-Congo
1950,MATOKO_BOMITABA,Africa,1.67,17.5,NA,zmx,NA,Atlantic-Congo
1951,MATUUMBI,Africa,-8.6,38.9,NA,mgw,NA,Atlantic-Congo
1952,MAZOO,Africa,-3,18,NA,skt,NA,Atlantic-Congo
1953,MBALA,Africa,-5,18,NA,mdp,NA,Atlantic-Congo
1954,MBALA_2,Africa,-5,18,NA,mdp,NA,Atlantic-Congo
1955,MBALA_3,Africa,-5,18,NA,mdp,NA,Atlantic-Congo
1956,MBALA_4,Africa,-5,18,NA,mdp,NA,Atlantic-Congo
1957,MBALA_5,Africa,-5,18,NA,mdp,NA,Atlantic-Congo
1958,MBALA_6,Africa,-5,18.25,NA,mdp,NA,Atlantic-Congo
1959,MBALANGWE,Africa,-17.75,24.92,NA,sbs,NA,Atlantic-Congo
1960,MBALANHU,Africa,-17.5,15,NA,lnb,NA,Atlantic-Congo
1961,MBAMA,Africa,-2.7,13.65,NA,mbm,NA,Atlantic-Congo
1962,MBAMBA_1,Africa,-0.92,14,NA,mbm,NA,Atlantic-Congo
1963,MBAMBA_2,Africa,-0.92,14,NA,mbm,NA,Atlantic-Congo
1964,MBAMBA_LIWEME,Africa,-0.92,14,NA,mbm,NA,Atlantic-Congo
1965,MBAMBA_SIBITI,Africa,-0.92,14,NA,mbm,NA,Atlantic-Congo
1966,MBANGALA,Africa,-9.16,17.41,NA,mxg,NA,Atlantic-Congo
1967,MBANGALA_2,Africa,-9.1,17.5,NA,mxg,NA,Atlantic-Congo
1968,MBANGWE,Africa,-2.5,13.58,NA,zmn,NA,Atlantic-Congo
1969,MBANGWE_2,Africa,-2.1,13.65,NA,zmn,NA,Atlantic-Congo
1970,MBANZA_BOMITABA,Africa,1.67,17.5,NA,zmx,NA,Atlantic-Congo
1971,MBE,Africa,6.58,8.83,NA,mfo,NA,Atlantic-Congo
1972,MBEDE,Africa,-0.5,14,NA,mdt,NA,Atlantic-Congo
1973,MBEDE_2,Africa,-0.5,14,NA,mdt,NA,Atlantic-Congo
1974,MBERE,Africa,-0.45,14.45,NA,mdt,NA,Atlantic-Congo
1975,MBESA,Africa,1.67,22.75,NA,zms,NA,Atlantic-Congo
1976,MBO,Africa,5.15,9.9,NA,mbo,NA,Atlantic-Congo
1977,MBO_2,Africa,5.15,9.9,NA,mbo,NA,Atlantic-Congo
1978,MBOA,Africa,5.75,13.63,NA,xmb,NA,Atlantic-Congo
1979,MBOMFOLI,Africa,-3,18,NA,skt,NA,Atlantic-Congo
1980,MBOMPIYA,Africa,-3,18,NA,skt,NA,Atlantic-Congo
1981,MBONGNO,Africa,6.83,11.17,NA,bgu,NA,Atlantic-Congo
1982,MBOSHI,Africa,-1.33,15.58,NA,mdw,NA,Atlantic-Congo
1983,MBOSHI_BUNJI,Africa,-1.33,15.58,NA,mdw,NA,Atlantic-Congo
1984,MBOSHI_NGOLO,Africa,-1.33,15.58,NA,mdw,NA,Atlantic-Congo
