,ID,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Continent,Family
1,BEDJA_BEDAWI,Africa,19,36,NA,bej,NA,Afro-Asiatic
2,BEJA,Africa,18,36,NA,bej,NA,Afro-Asiatic
3,BEJA_2,Africa,18,36,NA,bej,NA,Afro-Asiatic
4,AWJILAH,Africa,29,21,NA,auj,NA,Afro-Asiatic
5,AYT_SEGHROUCHEN,Africa,33.33,-4.67,NA,tzm,NA,Afro-Asiatic
6,BENI_SNOUS_WESTERN_ALGERIAN_BERBER,Africa,34.62,-1.64,NA,rif,NA,Afro-Asiatic
7,CHAOUI,Africa,35,7,NA,shy,NA,Afro-Asiatic
8,CHENOUA,Africa,36.59,2.2,NA,cnu,NA,Afro-Asiatic
9,FIGUIG,Africa,32.5,-1.5,NA,tzm,NA,Afro-Asiatic
10,FOQAHA,Africa,27.83,16.35,NA,swn,NA,Afro-Asiatic
11,GHADAMES,Africa,30.13,9.5,NA,gha,NA,Afro-Asiatic
12,GHADAMES_2,Africa,30.13,9.5,NA,gha,NA,Afro-Asiatic
13,GHOMARA,Africa,35.31,-4.96,NA,gho,NA,Afro-Asiatic
14,JEBEL_NEFUSA,Africa,31.86,11.79,NA,jbn,NA,Afro-Asiatic
15,KABYLE,Africa,36.05,5,NA,kab,NA,Afro-Asiatic
16,KABYLE_GREATER_KABYLIA_AT_MANGELLAT,Africa,36.05,5,NA,kab,NA,Afro-Asiatic
17,NAFUSI,Africa,32,12,NA,jbn,NA,Afro-Asiatic
18,OUARGLA_BERBER,Africa,31.92,5.33,NA,oua,NA,Afro-Asiatic
19,SENED,Africa,34.47,9.44,NA,sds,NA,Afro-Asiatic
20,SENHAJA_DE_SRAIR,Africa,34.91,-4.56,NA,sjs,NA,Afro-Asiatic
21,SENHAYI,Africa,34.45,-4.18,NA,sjs,NA,Afro-Asiatic
22,SIWA_BERBER,Africa,29.17,25.5,NA,siz,NA,Afro-Asiatic
23,SIWI,Africa,29.17,25.5,NA,siz,NA,Afro-Asiatic
24,TAMAHAQ_TAHAGGART,Africa,23,6,NA,thv,NA,Afro-Asiatic
25,TAMAHAQ_TAHAGGART_2,Africa,23,6,NA,thv,NA,Afro-Asiatic
26,TAMAJEQ_TAYART_AIR,Africa,16,8,NA,thz,NA,Afro-Asiatic
27,TAMASHEQ,Africa,14.05,-0.25,NA,taq,NA,Afro-Asiatic
28,TAMASHEQ_2,Africa,19,-1,NA,taq,NA,Afro-Asiatic
29,TAMAZIGHT_CENTRAL_ATLAS_AYT_IZDEG,Africa,33.2,-4.4,NA,tzm,NA,Afro-Asiatic
30,TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR,Africa,33.2,-4.4,NA,tzm,NA,Afro-Asiatic
31,TAMAZIGHT_CENTRAL_ATLAS_NTIFA,Africa,33.2,-4.4,NA,tzm,NA,Afro-Asiatic
32,TARIFIT_BENI_IZNASSEN,Africa,34.05,-4,NA,rif,NA,Afro-Asiatic
33,TARIFIT_GUELAIA,Africa,34.5,-4,NA,rif,NA,Afro-Asiatic
34,TASHELHIT_IDA_USEMLAL,Africa,29.53,-9.61,NA,shi,NA,Afro-Asiatic
35,TAZNATIT,Africa,29.11,0.02,NA,grr,NA,Afro-Asiatic
36,TETSERRET,Africa,15.45,6.27,NA,ttq,NA,Afro-Asiatic
37,TUMZABT,Africa,32.05,3.05,NA,mzb,NA,Afro-Asiatic
38,WARGLA,Africa,31.95,5.32,NA,oua,NA,Afro-Asiatic
39,ZENAGA,Africa,17.33,-16,NA,zen,NA,Afro-Asiatic
40,ZENAGA_2,Africa,17.33,-16,NA,zen,NA,Afro-Asiatic
41,BIRAYLE,Africa,5.33,37.33,NA,bxe,NA,Ongota
42,ONGOTA,Africa,5.33,37.33,NA,bxe,NA,Ongota
43,AFADE,Africa,11.33,15.33,NA,aal,NA,Afro-Asiatic
44,BACAMA,Africa,9.4,11.65,NA,bcy,NA,Afro-Asiatic
45,BACAMA_MULYEN,Africa,9.5,12,NA,bcy,NA,Afro-Asiatic
46,BANA,Africa,10.25,13.35,NA,bcw,NA,Afro-Asiatic
47,BANA_2,Africa,10.36,13.65,NA,bcw,NA,Afro-Asiatic
48,BATA_MALABU,Africa,10,12.67,NA,bta,NA,Afro-Asiatic
49,BATA_ZUMU,Africa,10,12.67,NA,bta,NA,Afro-Asiatic
50,BAZZA,Africa,10.5,13.26,NA,hig,NA,Afro-Asiatic
51,BOGA,Africa,11,12.8,NA,bvw,NA,Afro-Asiatic
52,BUDUMA,Africa,13.05,14.05,NA,bdm,NA,Afro-Asiatic
53,BUDUMA_2,Africa,13.5,14.5,NA,bdm,NA,Afro-Asiatic
54,BURA,Africa,10.5,12.25,NA,bwr,NA,Afro-Asiatic
55,BUWAL,Africa,10.67,13.92,NA,bhs,NA,Afro-Asiatic
56,CIBAK,Africa,11.16,12.76,NA,ckl,NA,Afro-Asiatic
57,CINENI,Africa,11.1,13.78,NA,cie,NA,Afro-Asiatic
58,CUVOK,Africa,10.67,14,NA,cuv,NA,Afro-Asiatic
59,DABA,Africa,10.17,13.75,NA,dbq,NA,Afro-Asiatic
60,DABA_DKX,Africa,10.17,13.75,NA,dkx,NA,Afro-Asiatic
61,DGHWEDE,Africa,11,13.67,NA,dgh,NA,Afro-Asiatic
62,DUGWOR,Africa,10.74,14.22,NA,dme,NA,Afro-Asiatic
63,DUGWOR_2,Africa,10.75,14.5,NA,dme,NA,Afro-Asiatic
64,FALI_BAGIRA,Africa,10.4,13.3,NA,fli,NA,Afro-Asiatic
65,FALI_GILI,Africa,10.33,13.55,NA,hig,NA,Afro-Asiatic
66,FALI_KIRIYA,Africa,10.45,13.35,NA,hig,NA,Afro-Asiatic
67,FALI_MUCHELLA,Africa,10.5,13.4,NA,fli,NA,Afro-Asiatic
68,FUTU,Africa,10.4,13.3,NA,hig,NA,Afro-Asiatic
69,GAANDA,Africa,10.33,12.58,NA,gqa,NA,Afro-Asiatic
70,GAANDA_GABIN,Africa,10.3,12.3,NA,gqa,NA,Afro-Asiatic
71,GAVA,Africa,11.23,13.8,NA,gdf,NA,Afro-Asiatic
72,GAVAR,Africa,10.56,13.82,NA,gou,NA,Afro-Asiatic
73,GAVAR_2,Africa,10.5,13.83,NA,gou,NA,Afro-Asiatic
74,GHYE,Africa,10.5,13.5,NA,hig,NA,Afro-Asiatic
75,GIDAR,Africa,10,14,NA,gid,NA,Afro-Asiatic
76,GLAVDA,Africa,11.24,13.9,NA,glw,NA,Afro-Asiatic
77,GUDE,Africa,10.42,13.42,NA,gde,NA,Afro-Asiatic
78,GUDU,Africa,9.91,12.53,NA,gdu,NA,Afro-Asiatic
79,GVOKO,Africa,11.08,13.83,NA,ngs,NA,Afro-Asiatic
80,HDI,Africa,11.87,13.72,NA,xed,NA,Afro-Asiatic
81,HILDI,Africa,10.27,13.27,NA,mfm,NA,Afro-Asiatic
82,HOLMA,Africa,10,13.17,NA,hod,NA,Afro-Asiatic
83,HUBA,Africa,10.33,13.17,NA,hbb,NA,Afro-Asiatic
84,HWANA,Africa,10.42,12.83,NA,hwo,NA,Afro-Asiatic
85,HYA,Africa,10.48,13.53,NA,hya,NA,Afro-Asiatic
86,JARA,Africa,10.5,11.75,NA,jaf,NA,Afro-Asiatic
87,JIMI_CAMEROON,Africa,10.25,13.5,NA,jim,NA,Afro-Asiatic
88,JINA,Africa,11.33,14.92,NA,jia,NA,Afro-Asiatic
89,KAMALE,Africa,10.62,13.55,NA,hig,NA,Afro-Asiatic
90,KILBA,Africa,10.33,13.17,NA,hbb,NA,Afro-Asiatic
91,KIRYA_KONZEL,Africa,10.18,13.18,NA,fkk,NA,Afro-Asiatic
92,LAGWAN,Africa,11.5,14.83,NA,kot,NA,Afro-Asiatic
93,LAMANG_HITKALANCHI,Africa,11.02,13.74,NA,hia,NA,Afro-Asiatic
94,MADA_CAMEROON,Africa,10.83,14.17,NA,mxu,NA,Afro-Asiatic
95,MAFA,Africa,11,13.9,NA,maf,NA,Afro-Asiatic
96,MAKARY_KOTOKO,Africa,12.5,14.5,NA,mpi,NA,Afro-Asiatic
97,MALGBE,Africa,12.42,14.83,NA,mxf,NA,Afro-Asiatic
98,MALGWA_WANDALA,Africa,11.15,14,NA,mfi,NA,Afro-Asiatic
99,MARGI,Africa,11,13,NA,mrt,NA,Afro-Asiatic
100,MATAL,Africa,10.93,14.05,NA,mfh,NA,Afro-Asiatic
101,MBARA,Africa,11,15.42,NA,mpk,NA,Afro-Asiatic
102,MBARA_2,Africa,11,15.42,NA,mpk,NA,Afro-Asiatic
103,MBEDAM,Africa,10.42,13.92,NA,xmd,NA,Afro-Asiatic
104,MBUKO,Africa,10.77,14.17,NA,mqb,NA,Afro-Asiatic
105,MBUKO_2,Africa,10.77,14.16,NA,mqb,NA,Afro-Asiatic
106,MEFELE,Africa,10.68,13.82,NA,mfj,NA,Afro-Asiatic
107,MELOKWO,Africa,10.77,14.25,NA,mlw,NA,Afro-Asiatic
108,MELOKWO_2,Africa,10.77,14.25,NA,mlw,NA,Afro-Asiatic
109,MEREY,Africa,10.75,14.08,NA,meq,NA,Afro-Asiatic
110,MINA,Africa,10.33,13.83,NA,hna,NA,Afro-Asiatic
111,MINA_2,Africa,10.33,13.83,NA,hna,NA,Afro-Asiatic
112,MOFU_GUDUR,Africa,10.5,14,NA,mif,NA,Afro-Asiatic
113,MOLOKO,Africa,10.75,14.25,NA,mlw,NA,Afro-Asiatic
114,MSER,Africa,12,15,NA,kqx,NA,Afro-Asiatic
115,MUNJUK,Africa,10.83,14.92,NA,mug,NA,Afro-Asiatic
116,MUSGU_B,Africa,10.83,14.92,NA,mug,NA,Afro-Asiatic
117,MUSGU_D_PLUS_RD,Africa,10.83,14.92,NA,mug,NA,Afro-Asiatic
118,MUSGU_K,Africa,10.83,14.92,NA,mug,NA,Afro-Asiatic
119,MUSGU_O,Africa,10.83,14.92,NA,mug,NA,Afro-Asiatic
120,MUSGU_R,Africa,10.83,14.92,NA,mug,NA,Afro-Asiatic
121,MUSKUM,Africa,10.27,15.37,NA,mje,NA,Afro-Asiatic
122,MUSKUM_2,Africa,10.27,15.37,NA,mje,NA,Afro-Asiatic
123,MUTURUA,Africa,10.33,14.25,NA,giz,NA,Afro-Asiatic
124,MUYANG,Africa,10.83,14.25,NA,muy,NA,Afro-Asiatic
125,MUYANG_2,Africa,10.87,14.22,NA,muy,NA,Afro-Asiatic
126,NGGWAHYI,Africa,10.58,12.92,NA,ngx,NA,Afro-Asiatic
127,NKAFA,Africa,10.54,13.32,NA,hig,NA,Afro-Asiatic
128,NORTH_MOFU,Africa,10.68,14.11,NA,mfk,NA,Afro-Asiatic
129,NORTHERN_GIZIGA,Africa,10.33,14.17,NA,gis,NA,Afro-Asiatic
130,NZANYI,Africa,10.2,13.3,NA,nja,NA,Afro-Asiatic
131,PODOKO,Africa,11,14.08,NA,pbi,NA,Afro-Asiatic
132,PROTO_BIU_MANDARA,Africa,11,14,NA,,NA,NA
133,PSIKYE,Africa,10.58,13.67,NA,kvj,NA,Afro-Asiatic
134,PUTAI,Africa,11.02,12.75,NA,mfl,NA,Afro-Asiatic
135,SHARWA,Africa,10.15,13.57,NA,swq,NA,Afro-Asiatic
136,SUKUR,Africa,10.88,13.67,NA,syk,NA,Afro-Asiatic
137,TERA,Africa,11,11.83,NA,ttr,NA,Afro-Asiatic
138,TERA_PIDLIMDI,Africa,11.1,12,NA,ttr,NA,Afro-Asiatic
139,TSUVAN,Africa,10.17,13.63,NA,tsh,NA,Afro-Asiatic
140,VAME,Africa,10.93,14.22,NA,mlr,NA,Afro-Asiatic
141,VEMGO_MABAS,Africa,10.97,13.73,NA,vem,NA,Afro-Asiatic
142,VEMGO_MABAS_2,Africa,10.97,13.73,NA,vem,NA,Afro-Asiatic
143,WAMDIU,Africa,10.7,13.17,NA,mfm,NA,Afro-Asiatic
144,WANDALA,Africa,11.5,13.75,NA,mfi,NA,Afro-Asiatic
145,WUZLAM,Africa,10.95,14.12,NA,udl,NA,Afro-Asiatic
146,ZIZILIVAKAN,Africa,10.25,13.52,NA,ziz,NA,Afro-Asiatic
147,ZULGO,Africa,10.83,14.08,NA,gnd,NA,Afro-Asiatic
148,AWNGI,Africa,10.83,36.67,NA,awn,NA,Afro-Asiatic
149,AWNGI_2,Africa,10.83,36.67,NA,awn,NA,Afro-Asiatic
150,BILIN,Africa,15.75,38.5,NA,byn,NA,Afro-Asiatic
151,BILIN_2,Africa,15.75,38.5,NA,byn,NA,Afro-Asiatic
152,KEMANT,Africa,12.67,37.42,NA,ahg,NA,Afro-Asiatic
153,KEMANT_2,Africa,12.67,37.42,NA,ahg,NA,Afro-Asiatic
154,PROTO_AGAW,Africa,12.92,37.86,NA,,NA,NA
155,XAMTANGA,Africa,12.42,38.83,NA,xan,NA,Afro-Asiatic
156,XAMTANGA_2,Africa,12.42,38.83,NA,xan,NA,Afro-Asiatic
157,PROTO_CHADIC,Africa,,,NA,,NA,NA
158,PROTO_CUSHITIC,Africa,,,NA,,NA,NA
159,DAHALO,Africa,-2.33,40.5,NA,dal,NA,Afro-Asiatic
160,DAHALO_2,Africa,-2.33,40.5,NA,dal,NA,Afro-Asiatic
161,DIZI,Africa,6.2,35.6,NA,mdx,NA,Dizoid
162,DIZI_2,Africa,6.2,35.6,NA,mdx,NA,Dizoid
163,MAJI,Africa,6.16,36.5,NA,mdx,NA,Dizoid
164,NAO,Africa,6.92,36.33,NA,noz,NA,Dizoid
165,NAYI,Africa,6.85,36.3,NA,noz,NA,Dizoid
166,PROTO_MAJI,Africa,,,NA,,NA,NA
167,SHEKO,Africa,7,35.25,NA,she,NA,Dizoid
168,SHEKO_2,Africa,7.05,35.25,NA,she,NA,Dizoid
169,SHEKO_3,Africa,7.05,35.25,NA,she,NA,Dizoid
170,BAREIN,Africa,11,18,NA,bva,NA,Afro-Asiatic
171,BIDIYA,Africa,11.92,18.75,NA,bid,NA,Afro-Asiatic
172,BIRGIT,Africa,12,20,NA,btf,NA,Afro-Asiatic
173,DANGALEAT,Africa,12.17,18.33,NA,daa,NA,Afro-Asiatic
174,GABRI,Africa,9.33,16.67,NA,gab,NA,Afro-Asiatic
175,KABALAY,Africa,9.58,16.25,NA,kvf,NA,Afro-Asiatic
176,KAJAKSE,Africa,12.25,20.83,NA,ckq,NA,Afro-Asiatic
177,KERA,Africa,9.83,15.08,NA,ker,NA,Afro-Asiatic
178,LELE_CHAD,Africa,9.08,15.58,NA,lln,NA,Afro-Asiatic
179,MABIRE,Africa,11.65,18.6,NA,muj,NA,Afro-Asiatic
180,MASMEDJE,Africa,13.08,19.25,NA,mes,NA,Afro-Asiatic
181,MAWA_CHAD,Africa,11.75,18.3,NA,mcw,NA,Afro-Asiatic
182,MIGAMA,Africa,12.17,19.83,NA,mmy,NA,Afro-Asiatic
183,MODGEL,Africa,10.08,16.58,NA,kvi,NA,Afro-Asiatic
184,MOGUM,Africa,11.58,18.58,NA,mou,NA,Afro-Asiatic
185,MOKILKO,Africa,11.92,18.08,NA,moz,NA,Afro-Asiatic
186,MUBI,Africa,12.75,19.67,NA,mub,NA,Afro-Asiatic
187,NANCERE,Africa,9.32,16.13,NA,nnc,NA,Afro-Asiatic
188,NDAM,Africa,9.79,17.33,NA,ndm,NA,Afro-Asiatic
189,SABA,Africa,11.33,18.42,NA,saa,NA,Afro-Asiatic
190,SOKORO,Africa,11.5,17.67,NA,sok,NA,Afro-Asiatic
191,SOMRAI,Africa,9.67,16.67,NA,sor,NA,Afro-Asiatic
192,TEMKI,Africa,11.5,18.22,NA,tax,NA,Afro-Asiatic
193,TORAM,Africa,11.25,19.5,NA,trj,NA,Afro-Asiatic
194,TUMAK,Africa,9.5,17.33,NA,tmc,NA,Afro-Asiatic
195,UBI,Africa,11.83,18.55,NA,ubi,NA,Afro-Asiatic
196,ZIRENKEL,Africa,12.18,18.68,NA,zrn,NA,Afro-Asiatic
197,PROTO_EAST_CUSHITIC,Africa,,,NA,,NA,NA
198,COPTIC,Africa,26,32,NA,cop,NA,Afro-Asiatic
199,LATE_EGYPTIAN,Africa,29.85,31.25,NA,,NA,Afro-Asiatic
200,MIDDLE_EGYPTIAN,Africa,25.7,32.65,NA,,NA,Afro-Asiatic
201,GEDEO,Africa,6.35,38.38,NA,drs,NA,Afro-Asiatic
202,GEDEO_2,Africa,6.35,38.38,NA,drs,NA,Afro-Asiatic
203,GEDEO_3,Africa,6.2,38.2,NA,drs,NA,Afro-Asiatic
204,HADIYYA,Africa,7.25,38,NA,hdy,NA,Afro-Asiatic
205,HADIYYA_2,Africa,7.25,38,NA,hdy,NA,Afro-Asiatic
206,KAMBAATA,Africa,7.4,37.75,NA,ktb,NA,Afro-Asiatic
207,KAMBAATA_2,Africa,7.4,37.75,NA,ktb,NA,Afro-Asiatic
208,LIBIDO,Africa,8,38.42,NA,liq,NA,Afro-Asiatic
209,PROTO_HIGHLAND_EAST_CUSHITIC,Africa,7.05,38.44,NA,,NA,NA
210,SIDAMO,Africa,6.75,38.3,NA,sid,NA,Afro-Asiatic
211,SIDAMO_2,Africa,6.75,38.3,NA,sid,NA,Afro-Asiatic
212,AFAR,Africa,12,42,NA,aar,NA,Afro-Asiatic
213,AFAR_2,Africa,12,42,NA,aar,NA,Afro-Asiatic
214,AFAR_3,Africa,12.5,41.5,NA,aar,NA,Afro-Asiatic
215,ARBORE,Africa,5,36.75,NA,arv,NA,Afro-Asiatic
216,ARBORE_2,Africa,5,36.75,NA,arv,NA,Afro-Asiatic
217,AWEER,Africa,-1.4,41.23,NA,bob,NA,Afro-Asiatic
218,BAISO,Africa,6.25,37.75,NA,bsw,NA,Afro-Asiatic
219,BAISO_2,Africa,6.25,37.75,NA,bsw,NA,Afro-Asiatic
220,BAISO_3,Africa,6.4,37.7,NA,bsw,NA,Afro-Asiatic
221,BOON,Africa,3,45,NA,bnl,NA,Afro-Asiatic
222,BORANA_OROMO,Africa,4.5,38.5,NA,gax,NA,Afro-Asiatic
223,BORANA_OROMO_2,Africa,4.5,38.5,NA,gax,NA,Afro-Asiatic
224,BURJI,Africa,5.5,37.83,NA,bji,NA,Afro-Asiatic
225,BURJI_2,Africa,5.5,37.83,NA,bji,NA,Afro-Asiatic
226,BUSSA,Africa,5.75,37.25,NA,dox,NA,Afro-Asiatic
227,BUSSA_2,Africa,5.75,37.25,NA,dox,NA,Afro-Asiatic
228,DAASANACH,Africa,4.67,36.33,NA,dsh,NA,Afro-Asiatic
229,DAASANACH_2,Africa,4.67,36.33,NA,dsh,NA,Afro-Asiatic
230,EASTERN_OROMO,Africa,9,42,NA,hae,NA,Afro-Asiatic
231,EASTERN_OROMO_2,Africa,9,42,NA,hae,NA,Afro-Asiatic
232,EL_MOLO,Africa,2.75,36.75,NA,elo,NA,Afro-Asiatic
233,GARRE,Africa,2.3,44.69,NA,gex,NA,Afro-Asiatic
234,GAWWADA,Africa,5.5,37.25,NA,gwd,NA,Afro-Asiatic
235,GAWWADA_2,Africa,5.5,37.25,NA,gwd,NA,Afro-Asiatic
236,GIDOLE,Africa,5.58,37.42,NA,gdl,NA,Afro-Asiatic
237,GIDOLE_2,Africa,5.58,37.42,NA,gdl,NA,Afro-Asiatic
238,GOBEZE,Africa,5.47,37.47,NA,gwd,NA,Afro-Asiatic
239,KOMSO,Africa,5.42,37.58,NA,kxc,NA,Afro-Asiatic
240,KOMSO_2,Africa,5.42,37.58,NA,kxc,NA,Afro-Asiatic
241,KOMSO_3,Africa,5.4,37.6,NA,kxc,NA,Afro-Asiatic
242,MAAY,Africa,4,44,NA,ymm,NA,Afro-Asiatic
243,MECHA_OROMO,Africa,8.73,35,NA,gaz,NA,Afro-Asiatic
244,MOGOGODO,Africa,0.5,37,NA,muu,NA,Afro-Asiatic
245,ORMA,Africa,-2,39.5,NA,orc,NA,Afro-Asiatic
246,ORMA_2,Africa,-1.3,40.03,NA,gax,NA,Afro-Asiatic
247,PROTO_SAM,Africa,2.33,37.98,NA,,NA,NA
248,RENDILLE,Africa,2,37.5,NA,rel,NA,Afro-Asiatic
249,RENDILLE_2,Africa,2,37.5,NA,rel,NA,Afro-Asiatic
250,SAHO,Africa,14.75,39.75,NA,ssy,NA,Afro-Asiatic
251,SAHO_2,Africa,14.75,39.75,NA,ssy,NA,Afro-Asiatic
252,SOMALI,Africa,3,45,NA,som,NA,Afro-Asiatic
253,SOMALI_2,Africa,3,45,NA,som,NA,Afro-Asiatic
254,TSAMAI,Africa,5.42,37.03,NA,tsb,NA,Afro-Asiatic
255,TSAMAI_2,Africa,5.42,37.03,NA,tsb,NA,Afro-Asiatic
256,TSAMAI_3,Africa,5.35,36.9,NA,tsb,NA,Afro-Asiatic
257,TUNNI,Africa,2.25,44.33,NA,tqq,NA,Afro-Asiatic
258,W_OROMO,Africa,9,37,NA,gaz,NA,Afro-Asiatic
259,WAATA,Africa,-3.33,39.83,NA,ssn,NA,Afro-Asiatic
260,WERIZE,Africa,5.75,37.25,NA,gwd,NA,Afro-Asiatic
261,HERDE,Africa,9.25,15,NA,hed,NA,Afro-Asiatic
262,MARBA,Africa,9.5,15.92,NA,mpg,NA,Afro-Asiatic
263,MASANA,Africa,10.5,15.5,NA,mcn,NA,Afro-Asiatic
264,MASANA_POGO,Africa,10.25,15.25,NA,mcn,NA,Afro-Asiatic
265,MESME,Africa,9.25,15.67,NA,zim,NA,Afro-Asiatic
266,MUSEY,Africa,9.75,15.33,NA,mse,NA,Afro-Asiatic
267,PEVE_LAME,Africa,9,14.5,NA,lme,NA,Afro-Asiatic
268,PEVE_PALA,Africa,9.36,14.9,NA,lme,NA,Afro-Asiatic
269,ANFILLO,Africa,8.6,34.6,NA,myo,NA,Ta-Ne-Omotic
270,BAMBASSI,Africa,9.7,34.6,NA,myf,NA,Blue_Nile_Mao
271,BASKETO,Africa,6.42,36.58,NA,bst,NA,Ta-Ne-Omotic
272,BASKETO_2,Africa,7.24,35.4,NA,bst,NA,Ta-Ne-Omotic
273,BENCHO,Africa,7,35.75,NA,bcq,NA,Ta-Ne-Omotic
274,CHARA,Africa,6.64,36.42,NA,cra,NA,Ta-Ne-Omotic
275,CHARA_2,Africa,6.7,36.4,NA,cra,NA,Ta-Ne-Omotic
276,DACHE,Africa,6.7,37.05,NA,gmv,NA,Ta-Ne-Omotic
277,DORZE,Africa,6.25,37.58,NA,doz,NA,Ta-Ne-Omotic
278,DORZE_2,Africa,6.25,37.55,NA,doz,NA,Ta-Ne-Omotic
279,DORZE_3,Africa,6.25,37.55,NA,doz,NA,Ta-Ne-Omotic
280,GAMO,Africa,6.7,37.2,NA,gmv,NA,Ta-Ne-Omotic
281,GAMO_DHAACHE,Africa,6.08,37.47,NA,gmv,NA,Ta-Ne-Omotic
282,GANZA,Africa,10.25,35.17,NA,gza,NA,Blue_Nile_Mao
283,GANZA_2,Africa,10.2,35,NA,gza,NA,Blue_Nile_Mao
284,GIDICHO,Africa,6.33,38.08,NA,kqy,NA,Ta-Ne-Omotic
285,GOFA,Africa,6.58,37.14,NA,gof,NA,Ta-Ne-Omotic
286,GOFA_2,Africa,6.7,37.2,NA,gof,NA,Ta-Ne-Omotic
287,HOZO,Africa,9.42,34.5,NA,hoz,NA,Blue_Nile_Mao
288,HOZO_2,Africa,9.3,34.5,NA,hoz,NA,Blue_Nile_Mao
289,JANJERO,Africa,7.83,37.33,NA,jnj,NA,Ta-Ne-Omotic
290,KACHAMA,Africa,5.92,37.42,NA,kcx,NA,Ta-Ne-Omotic
291,KOORETE,Africa,5.7,37.75,NA,kqy,NA,Ta-Ne-Omotic
292,KOYRA,Africa,5.83,37.83,NA,kqy,NA,Ta-Ne-Omotic
293,KULLO,Africa,6.75,37.08,NA,dwr,NA,Ta-Ne-Omotic
294,KULLO_2,Africa,6.8,37.2,NA,dwr,NA,Ta-Ne-Omotic
295,MALE_ETHIOPIA,Africa,6,36.92,NA,mdy,NA,Ta-Ne-Omotic
296,MELE_2,Africa,5.96,37.34,NA,gmv,NA,Ta-Ne-Omotic
297,MELO,Africa,6.54,36.81,NA,mfx,NA,Ta-Ne-Omotic
298,MELO_2,Africa,6.6,36.75,NA,mfx,NA,Ta-Ne-Omotic
299,MELO_3,Africa,6.6,36.75,NA,mfx,NA,Ta-Ne-Omotic
300,MOCHA,Africa,7.58,35.5,NA,moy,NA,Ta-Ne-Omotic
301,MOCHA_2,Africa,7.58,35.5,NA,moy,NA,Ta-Ne-Omotic
302,NORTHERN_MAO,Africa,9.92,34.5,NA,myf,NA,Blue_Nile_Mao
303,OYDA,Africa,6.08,36.83,NA,oyd,NA,Ta-Ne-Omotic
304,SEZE,Africa,9.58,34.67,NA,sze,NA,Blue_Nile_Mao
305,SEZE_2,Africa,9.4,34.5,NA,sze,NA,Blue_Nile_Mao
306,SEZE_3,Africa,9.4,34.5,NA,sze,NA,Blue_Nile_Mao
307,SHARA,Africa,6.12,37.58,NA,gmv,NA,Ta-Ne-Omotic
308,SHE,Africa,7.07,35.8,NA,bcq,NA,Ta-Ne-Omotic
309,SHINASSHA,Africa,10.42,36.17,NA,bwo,NA,Ta-Ne-Omotic
310,SHINASSHA_2,Africa,10.42,36.17,NA,bwo,NA,Ta-Ne-Omotic
311,SOUTHERN_MAO,Africa,8.67,34.5,NA,myo,NA,Ta-Ne-Omotic
312,WELAMO,Africa,6.83,37.75,NA,wal,NA,Ta-Ne-Omotic
313,WOLAYTTA,Africa,6.83,37.75,NA,wal,NA,Ta-Ne-Omotic
314,WOLAYTTA_2,Africa,7,37.8,NA,wal,NA,Ta-Ne-Omotic
315,ZAYSE,Africa,5.92,37.33,NA,zay,NA,Ta-Ne-Omotic
316,ZAYSE_ZERGULLA,Africa,5.8,37.3,NA,zay,NA,Ta-Ne-Omotic
317,ZERGULLA,Africa,5.9,37.3,NA,zay,NA,Ta-Ne-Omotic
318,ACHAEMENID_ARAMAIC,Africa,32.54,44.42,NA,tmr,NA,Afro-Asiatic
319,AKKADIAN,Africa,33.1,44.1,NA,akk,NA,Afro-Asiatic
320,AKKADIAN_2,Africa,33.1,44.1,NA,akk,NA,Afro-Asiatic
321,AMEDYA_ARAMAIC,Africa,37.1,43.5,NA,aii,NA,Afro-Asiatic
322,AMHARIC,Africa,10,38,NA,amh,NA,Afro-Asiatic
323,AMHARIC_2,Africa,10,38,NA,amh,NA,Afro-Asiatic
324,AMHARIC_3,Africa,10,38,NA,amh,NA,Afro-Asiatic
325,ARABIC_CYPRIOT_SPOKEN,Africa,35.25,33.5,NA,acy,NA,Afro-Asiatic
326,ARABIC_GULF_SPOKEN,Africa,26,49,NA,afb,NA,Afro-Asiatic
327,ARABIC_LIBYAN_SPOKEN,Africa,32,22,NA,ayl,NA,Afro-Asiatic
328,ARABIC_NORTH_LEVANTINE_SPOKEN,Africa,33.75,36,NA,apc,NA,Afro-Asiatic
329,ARABIC_QURANIC,Africa,25,42,NA,arb,NA,Afro-Asiatic
330,ARABIC_SUDANESE_SPOKEN,Africa,15.55,32.53,NA,apd,NA,Afro-Asiatic
331,ARAMAIC,Africa,36,43,NA,cld,NA,Afro-Asiatic
332,ARAMAIC_ANCIENT,Africa,35,37,NA,,NA,Afro-Asiatic
333,ARBEL_NEO_ARAMAIC,Africa,31.75,35,NA,aij,NA,Afro-Asiatic
334,ARGOBBA,Africa,10.17,40.08,NA,agj,NA,Afro-Asiatic
335,ASSYRIAN_NEO_ARAMAIC,Africa,36,41,NA,aii,NA,Afro-Asiatic
336,BAHRAIN_ARABIC,Africa,26,50.5,NA,abv,NA,Afro-Asiatic
337,BIBLICAL_HEBREW,Africa,31.47,35.13,NA,hbo,NA,Afro-Asiatic
338,CAIRO_ARABIC,Africa,30,31,NA,arz,NA,Afro-Asiatic
