embedding_size,hidden_size,concept_size,nlayers,dropout,test_loss,test_acc,val_loss,val_acc,best_epoch
69,466,56,1,0.15486796275260206,3.6786728773300004,0.28156465677790504,3.722925117780344,0.2716281806381037,6
809,189,5,3,0.11062747121387995,3.6832027057417833,0.28413230046896915,3.7310926128468678,0.26725388485652873,3
350,104,13,1,0.3365762390902627,3.70060921574983,0.282635071154385,3.7541293675073204,0.2697420435821565,3
12,810,6,3,0.381569500922761,3.7305812364371627,0.2697459495537442,3.7967709730180403,0.2618693315361742,11
499,46,5,2,0.3364683595832929,3.6951196334754157,0.27614194719914714,3.7386624400391972,0.26712790508958156,6
16,363,22,1,0.1610314964145504,3.691751798314004,0.2808405457689398,3.7561262085148135,0.26990417981473597,5
548,42,33,1,0.36574056328636423,3.742917188498172,0.27536147364569075,3.7990451616941674,0.2644258431755921,4
245,131,93,2,0.09493927156396076,3.676822040876061,0.28366905421621913,3.7328884078713,0.27075605933440794,5
28,381,6,1,0.15795950217598287,3.6897510669326277,0.2822600313491135,3.7335742563316447,0.27158856912019924,5
1017,86,9,3,0.47183947537267984,3.7196340120241524,0.27649938638294275,3.789654774315046,0.265107752864223,2
125,275,2,3,0.06017362175585039,3.679580321070164,0.27426327367298936,3.738512733450179,0.2652215110852994,3
39,182,6,1,0.4947997273173651,3.7033089025299204,0.2815776161999072,3.7631118714801683,0.26811168221769033,11
28,453,8,2,0.30993111384907107,3.7281602116646133,0.28211430244404306,3.788731370881744,0.2680011712858796,3
208,142,33,3,0.29897025895754314,3.6615747012862103,0.286433731474065,3.715820847265377,0.27261249674929205,5
10,62,15,2,0.1822355457219459,3.7278337434590623,0.26848750896693196,3.7900814423880123,0.26215628532052826,5
103,216,38,2,0.21075383588124563,3.673124216870719,0.27455299338832934,3.7323449495360563,0.26908678890859083,3
9,64,50,1,0.43384522214926236,3.7621414343919075,0.25893568684255125,3.830065255975078,0.25450381862670746,10
8,57,40,2,0.4224597463616058,3.763947244038087,0.26178148762411596,3.8323722108918234,0.2530130782557116,8
7,45,52,1,0.5,3.7957212505596223,0.2597734893147526,3.8637352020301563,0.2550568601883513,10
141,402,29,4,0.04024167834803821,3.6714378147379603,0.2858988201796301,3.728993424150206,0.2722927398023409,5
332,76,78,4,0.4398675364795458,3.713986294571424,0.27607861585345733,3.7670965428353527,0.2672971779977366,4
195,347,14,3,0.01834789241439644,3.6901236275034304,0.28075367011869307,3.737688404349253,0.2704941034415832,2
4,99,16,4,0.14298934187463447,3.7877841168100392,0.2701220525307498,3.8624973806525884,0.26173368908421624,7
15,282,2,3,0.19554611280028106,3.7363229855082465,0.27692983545218647,3.805573124367044,0.26468001689611453,3
36,381,9,3,0.36698143059308624,3.713579859007337,0.27851536660073667,3.7742122480726894,0.26929609191277293,4
21,68,7,3,0.4807988094978095,3.7429153892687284,0.27513017592157013,3.807215190520483,0.2662575653441174,6
770,602,5,4,0.4374747215992922,3.735642330032487,0.27653325227457143,3.773805310366752,0.26645629752465416,2
12,641,2,4,0.11043936962493273,3.750018626407556,0.27548409361976395,3.8152966380131352,0.2675289212800262,3
33,38,1,4,0.3051463263270072,3.7169450321931667,0.2809751396686735,3.778178472658603,0.27038241951748165,7
12,240,4,2,0.3895986866941412,3.743140396744006,0.2738762601734149,3.8090539307572095,0.26298007247584315,5
101,935,10,1,0.33287023609696786,3.682436159546592,0.2817422601546651,3.7359016162588494,0.26774609323906723,7
17,132,5,1,0.4563808389973,3.7464974313226453,0.2665061789232902,3.8088528400992354,0.26168654131655106,6
27,338,16,3,0.45126815849254676,3.728845354514541,0.2782430056616152,3.78936907606034,0.26970702631262816,6
575,51,8,4,0.35798584058003496,3.7193227969657023,0.2726655809481895,3.7684542858607664,0.26660771540764583,5
17,203,1,2,0.4709517258048377,3.7336782263653787,0.28005815889611746,3.7992821490675084,0.26814985612830866,8
195,122,52,1,0.02940773797681584,3.695402135314971,0.2818442475577519,3.7491833828930443,0.2702923922519716,3
51,628,79,2,0.23235193328402282,3.6814482828263677,0.27850137266998404,3.7329011637000695,0.2670409508784267,7
26,325,9,2,0.004124080537266428,3.7366326141209596,0.28229091831542896,3.8024180593068118,0.26927559919626215,2
61,695,1,4,0.43099944410354313,3.7108533389907588,0.2779789145673087,3.7675658002473638,0.265984408783724,5
4,623,12,3,0.0775928042364118,3.7590526085049016,0.27925154010477243,3.8153331580394325,0.2659547668861374,7
12,54,17,3,0.34658680348906995,3.7245049608142105,0.2784463718475645,3.7888505053361756,0.26941018859000904,10
601,45,29,4,0.46010383028563673,3.726079284821935,0.28316195784819786,3.79538178949844,0.26752787757212354,4
436,200,3,2,0.3574392868707395,3.6638616746738712,0.2830263436904877,3.7158493270927915,0.27221939228448777,9
117,343,7,1,0.401720970611396,3.6829532988465936,0.2733629775448205,3.739088039791256,0.2674377249415485,6
721,828,59,3,0.44632117198164434,3.694141294514672,0.2727796746459918,3.7346409405114898,0.26567531848996256,5
59,140,3,1,0.3740579656978416,3.6925498528029532,0.278648684538628,3.75030851078516,0.26645568037551387,5
27,416,76,1,0.13379375649674735,3.6759385031603267,0.2826483541187424,3.7366341539834123,0.2712209402164957,7
176,552,86,3,0.42303389990411294,3.6840505627693303,0.28283633607876574,3.7292500325164353,0.2711272384222047,7
30,718,95,3,0.3448728229323953,3.7122409259220612,0.28044524918092884,3.7630877850960225,0.27115477374323266,5
129,294,13,2,0.18278499447739077,3.679846781410436,0.28527447398213657,3.726343166328579,0.27331277948568183,6
