embedding_size,hidden_size,concept_size,nlayers,dropout,test_loss,test_acc,val_loss,val_acc,best_epoch
565,101,45,1,0.053828339967983974,3.719365721219781,0.26629742468129397,3.774234747810011,0.2591164680409026,2
108,200,8,2,0.3112597160980451,3.6659666244535147,0.2835192989685115,3.720761426390468,0.2712739744362654,6
45,409,12,3,0.3226775479477969,3.7048861827930524,0.27913316662897664,3.7563552845824795,0.27027986032621465,4
969,548,8,4,0.41187971628526066,3.687129051389296,0.2821030575645638,3.7383227654157283,0.2703357077718807,4
5,386,42,3,0.35456587539058365,3.7896016083419415,0.26400424278871165,3.8596589036038518,0.25932013670459364,9
80,49,81,2,0.10847558016178005,3.6642636978844076,0.28571250553819144,3.7220803512231075,0.2714370262029597,6
213,1003,4,3,0.2995029565695583,3.7045245757224725,0.28002850327415096,3.756460028662441,0.2677665212052239,2
213,824,6,2,0.2012362545183865,3.6860795676279903,0.28095431501703316,3.7311277597124826,0.26736794207738385,5
251,393,7,4,0.225249640372583,3.6763719980571468,0.2847916825891639,3.7340312012956973,0.26977932442543595,6
31,374,2,2,0.38544048315393986,3.740057961400049,0.27479287678196784,3.8040649678558056,0.2660537703759698,2
4,491,31,4,0.3950976161976908,3.8429764111883618,0.25830133387867465,3.916016052109766,0.2518277211385406,7
925,62,2,2,0.0332379510334892,3.6887363338697825,0.27908780262135685,3.7526463779439454,0.2641340883476028,4
7,956,7,2,0.3631359123521643,3.759113926480303,0.267842054761365,3.8230087053234967,0.2613171737865096,11
403,95,72,3,0.47144857423368036,3.702227730707372,0.2830594340655725,3.754957842308191,0.2710253230099935,5
567,159,8,4,0.3905110770739929,3.6695412960928047,0.28251081802004974,3.730267220907145,0.2714571317272958,7
100,516,1,1,0.11254019115630298,3.689876682831462,0.27258761713521623,3.747277062566881,0.2649441795734278,2
23,123,21,4,0.2589269021110859,3.7102501578173643,0.27969151851449053,3.7661079349366866,0.26928474706051414,9
719,152,66,1,0.20385586210981083,3.7065086156903373,0.2790204849661782,3.763485391505653,0.2670550380242447,6
780,68,3,1,0.2667264646953707,3.698828921683968,0.2774508015382961,3.7596219897034766,0.2674418481682728,7
158,774,9,4,0.05428191145152034,3.6975894419977,0.28566610952482663,3.7438113843299807,0.27231823279707196,4
31,72,10,4,0.1687069298814663,3.7082998699910243,0.2819161069841261,3.759484010255065,0.2710421397799359,5
510,723,10,1,0.17207769242831733,3.6872407911854257,0.2801894226649452,3.7454317665908494,0.2687648612980797,10
6,730,4,1,0.23643088715537064,3.760066816531886,0.27029199910959456,3.829606172640368,0.25929244437219534,6
148,848,1,2,0.13568760355776877,3.682291165230368,0.28324137447448816,3.7322662234854547,0.2717343818057511,3
156,393,2,3,0.31546148611727887,3.714111165630877,0.28432146542010717,3.7648863379216015,0.26931133240593247,2
21,110,4,3,0.4020026964590469,3.724094509008888,0.2755272638795199,3.7889970184697486,0.2682380912118478,7
105,50,1,4,0.3286861680052663,3.71669622502104,0.280623027608516,3.7782809796898986,0.2675478237551919,3
316,122,41,1,0.3593835291465113,3.6812135727414805,0.2739921418286629,3.7449031163429187,0.26501134800827086,6
157,231,14,2,0.3910642706486338,3.6712888586498353,0.28492131551381605,3.7244095661937577,0.26952107405766335,7
226,800,22,1,0.442005048000026,3.689307165586947,0.27879960069089726,3.7395144580930317,0.26717941993697253,8
6,259,8,2,0.475972705741015,3.814655417019269,0.2625293209043492,3.8793321374030927,0.2506683093444393,10
18,45,2,4,0.15997185820406867,3.73613258102009,0.27844552910463083,3.7913801421643725,0.2700810772552705,4
37,50,31,1,0.044911811270670565,3.6980016726920795,0.2892060601836204,3.7542377464128576,0.2725575117858519,2
132,35,23,2,0.021504919192592953,3.6734813167228513,0.2845530520904008,3.7339538579264353,0.27043335450569117,2
24,287,2,2,0.06936475049800483,3.719796101090886,0.28453206979975754,3.7613875088232587,0.2709941214142856,3
103,158,1,3,0.17916634556202976,3.6854036959352663,0.28492488159895996,3.743257376659165,0.271988875877502,3
160,563,9,1,0.3203470432605524,3.6920496189113123,0.2826704211983043,3.736948462663523,0.26984966148725836,6
77,114,8,2,0.40498010821207037,3.681637325727778,0.2843249894223974,3.7330954982449827,0.2726005586964717,9
50,564,6,3,0.4363296914123563,3.724723291663426,0.27384209698514816,3.776763518660492,0.26203133014219,4
756,47,79,2,0.03851068149709813,3.68175598477642,0.28034631423168554,3.737644847457041,0.26679010027302197,3
70,111,27,3,0.07345633293045095,3.674464432874634,0.28490744231532117,3.7363137820604027,0.27053369129446647,4
13,190,28,2,0.24681348897168448,3.715888836108189,0.2826382603322795,3.7725677287413433,0.2702875883497761,9
13,1023,78,3,0.17599620323299114,3.733065466657329,0.2824842675763508,3.7896306408775415,0.26989453516118933,5
6,35,13,2,0.14226601898490432,3.7651225123866574,0.265995958184364,3.8281496800126216,0.258114777753618,9
327,898,1,3,0.48509479735930083,3.689058921419939,0.2806781943745839,3.735340376686118,0.2700471867250795,7
131,81,70,2,0.4623193559193179,3.723284118992155,0.2718832576388253,3.782588127047197,0.26426665483358563,2
478,153,1,2,0.11394287001574566,3.671586455143361,0.28341239515875305,3.7328216508719376,0.2696610225937669,4
27,568,91,2,0.17082040450068153,3.6953555798730027,0.2835874139422034,3.742699085091074,0.2717652575466373,5
15,67,1,3,0.25534344150337457,3.717037236165391,0.2786891312513036,3.780992394453142,0.27033132322823544,6
180,91,51,3,0.3930404091992913,3.7037383455421247,0.27918257847665956,3.7671951674696005,0.2686377334055452,3
