embedding_size,hidden_size,concept_size,nlayers,dropout,test_loss,test_acc,val_loss,val_acc,best_epoch
84,372,4,3,0.44647347717382735,3.7055474355020084,0.2799567804312305,3.7482136600576106,0.2705981119639499,6
576,49,3,1,0.22040492182531823,3.730118513619475,0.27837936901257254,3.7779372019447908,0.26562336622463123,5
4,155,22,2,0.33812745099006564,3.916493172611544,0.26613060725139676,4.0000552942958825,0.25706578542642033,4
105,34,15,2,0.20755059850503482,3.672191055528238,0.2879371591781094,3.7300333132466053,0.2733815494227544,7
19,353,9,1,0.27232450901592237,3.7250040717345194,0.2781988386708031,3.777258253964361,0.267790916490031,4
302,92,3,2,0.4681918249302152,3.6969960026645303,0.2828310067075822,3.751227016517166,0.2694912268979615,5
896,328,64,4,0.18899702066444457,3.695396182272013,0.27475440305493964,3.750341205631157,0.25885106814509623,2
6,308,14,2,0.11252725241991596,3.812676361072865,0.269058016193213,3.873644081720343,0.2618512714755268,5
38,162,4,2,0.22884319966148897,3.679549307379015,0.2839764585332043,3.7431410751297127,0.27040456985740585,5
472,244,4,2,0.2273110377609734,3.6847309040306007,0.28608680741443077,3.732392534797277,0.2710346093693114,3
4,121,27,2,0.4253893551258473,3.9018135497211777,0.24717763908995827,3.9702908747601806,0.23795652396980493,6
32,147,28,1,0.11575245031024817,3.672952941362576,0.28248729919897286,3.7303642653596802,0.27155111342720517,6
4,91,10,2,0.22044377718708708,3.7677018033780585,0.27526989258551426,3.844691561647591,0.2675265387960098,10
35,238,3,4,0.07142886629458878,3.7003293367737453,0.2826684439144019,3.761737383312295,0.2692469463210116,5
86,543,3,4,0.053613143414590836,3.7143007216053414,0.27763288100341743,3.74917149635188,0.2677586474588878,2
8,252,5,3,0.39293372447794134,3.7638009745742287,0.2664877532244072,3.8281157389812703,0.2615342775203283,7
137,603,3,3,0.23577966927411448,3.6880513527888987,0.2834791889946122,3.7378928871488317,0.27114131821615023,3
45,496,22,1,0.3787511884527607,3.6966968448499733,0.2807432717500249,3.7540338339316097,0.27098610522198247,5
71,165,35,4,0.34271271843178075,3.72437553464692,0.27675695738311334,3.775846869797011,0.26531798454798755,3
723,242,10,3,0.04316716258501907,3.6815661926128453,0.28438284773388256,3.7284763780648564,0.27193470583381424,4
55,175,8,2,0.07085384011927082,3.6727880271934503,0.2844826028865829,3.736052409608606,0.2695135935651877,4
260,867,92,4,0.019446584299932235,3.6972743902746874,0.27870127765247876,3.773203212076829,0.2662197065279583,1
108,253,85,1,0.3410576977346734,3.666611162787441,0.28698954987319863,3.718418595686617,0.27129263407859217,8
4,183,23,1,0.4574849433689395,3.8826709614044446,0.2520529361763865,3.9517676429771083,0.2457328388141689,5
5,142,24,2,0.21144263349878153,3.7734627650221806,0.2629043719719526,3.8379728419905117,0.25500390155684677,8
173,79,93,3,0.18882424647682966,3.6693057321314493,0.28626077955610085,3.727677827124271,0.27145998455285564,4
4,151,22,2,0.4087857547736127,3.8199308282715223,0.25999345321175255,3.899508123583978,0.253290812520405,9
4,165,22,2,0.33011977799783976,3.88726029651502,0.2618470719019039,3.946193409757963,0.2566916868321557,3
52,363,83,1,0.3664336151246849,3.674839472156683,0.2823186679052288,3.727966114179857,0.26844902502843765,9
12,206,15,2,0.2167457665534343,3.718396425271295,0.27135700947263053,3.78203349829954,0.2637799436186666,5
893,739,62,2,0.04346895214001273,3.6831050544183066,0.27778775053243304,3.744983366863919,0.265016976070756,3
5,89,6,2,0.4962938648902878,3.832899552788012,0.2554630226578832,3.9063303748429177,0.24958773897704747,11
4,129,26,2,0.39066423015708845,3.8554798582976573,0.2504195289102483,3.9301969317348324,0.22959341207829287,7
12,54,66,3,0.2694990361938198,3.7397674251538495,0.27502404476682746,3.799237843494145,0.26699744924254815,5
16,119,6,2,0.422969727951807,3.737343168314504,0.2798571898549971,3.800887435964669,0.2681887408838415,6
6,372,13,2,0.16142889086147355,3.7292973571609687,0.2786266131294278,3.7941991756756575,0.2686039174174641,7
4,181,4,3,0.4467341024501086,3.8521717957021933,0.25976844428556284,3.9298712373998286,0.25252201440273586,8
4,194,4,3,0.4643132709684206,3.8954292947159006,0.2524391142275075,3.954106182658657,0.24681158918045135,6
6,252,16,2,0.13616244937445948,3.743594156292109,0.2816158610941929,3.8084023952044186,0.2631099130624011,6
10,36,21,1,0.2033257419102129,3.7409158192658016,0.27002593991149926,3.8066232846720762,0.2615464218234188,5
5,192,4,3,0.44768472443358953,3.8386829326698377,0.2532235830854048,3.904931317208601,0.24689904500417093,8
4,298,24,1,0.09105356010836863,3.7408176241407647,0.2785380650270439,3.8019534420468384,0.268480779040117,10
5,89,7,2,0.4053856425330122,3.788635475603814,0.25821192781020336,3.857608432164303,0.2556244137364749,11
6,96,7,2,0.46508443536219396,3.8407813752188527,0.25787099091481736,3.903906110547455,0.25299323816331715,7
113,468,92,1,0.07025355210949152,3.6876433707849823,0.2846374713463071,3.751290403042153,0.2681035365934203,2
4,178,4,3,0.4605893982260771,3.8665550536193805,0.25764710038126337,3.930115898821991,0.25135056195955685,8
4,203,4,3,0.5,3.9190564002649113,0.24639470295425606,3.995541512064787,0.2375234309202872,5
4,150,21,2,0.33329899598739626,3.793739527399389,0.2642237218802113,3.8713513518245213,0.2558743625471996,9
8,260,5,4,0.3333485553562707,3.7931430122289393,0.25401148905204995,3.856171859027842,0.23916331124048462,5
5,96,6,2,0.3828984642672256,3.824302168395312,0.25515422342823885,3.8936910490552696,0.23744392283443952,8
