embedding_size,hidden_size,concept_size,nlayers,dropout,test_loss,test_acc,val_loss,val_acc,best_epoch
820,361,96,1,0.180528176982029,4.03818661823464,0.25922404139768096,4.120869469748599,0.2455952192244193,1
241,1011,5,1,0.19199000507580005,4.024083556818908,0.257190435149778,4.07458637985989,0.2518285513209599,3
23,113,28,4,0.26705771959886027,3.9838947187111367,0.26644509117904164,4.067074462639797,0.2516810793361656,3
15,328,15,3,0.44672380184745036,4.0561584338442165,0.24671319780743967,4.125825052598119,0.2425696914274531,5
428,92,20,3,0.4852137801976603,3.9613329947084193,0.2705230668022544,4.0436746932566585,0.2574835012330024,4
567,838,21,3,0.11384162719898794,3.992652465229449,0.2590717119727336,4.052255869829471,0.24756880879096252,1
59,524,50,3,0.37889902492722,3.985093658608838,0.2717669005466427,4.044508238578425,0.25473423923330113,3
63,609,19,4,0.11584859832450017,3.9790372139015737,0.26936683857748195,4.051859955759551,0.2567187280101788,3
37,278,2,1,0.20841495538125104,3.9650904048395543,0.2633181157582438,4.042207227305734,0.2533845988867359,5
87,835,7,3,0.49772533718312456,3.9802537343460163,0.2697168162794254,4.078203501457425,0.25541384899147623,3
81,674,2,1,0.4764050301865183,4.013251269272899,0.2571745955780609,4.118249930562607,0.2505493829293207,2
17,65,8,1,0.3655864052433059,3.9869358582587267,0.26215120530863867,4.076940897693617,0.24859900690968054,6
4,291,14,3,0.1392101550668582,4.109774769944911,0.24193941027244892,4.187516477957144,0.24373418209965167,3
5,328,14,3,0.263860801280328,4.021488405938953,0.25817782175218307,4.130098659586955,0.24717080477506467,6
11,301,15,3,0.3226683432533313,4.025684879393731,0.25562820123198243,4.096597373819184,0.24922123857361095,5
4,282,14,3,0.10354242768237168,4.04396507571928,0.24465245975641053,4.113852473357094,0.24731477445302263,7
5,117,18,2,0.019417581322059452,4.046515178360018,0.24504094451232494,4.108692598863384,0.24610822602408505,7
32,454,31,1,0.08039808854532066,3.9281224026902324,0.27576540858848464,4.051604733257045,0.256135973580259,2
107,657,4,1,0.21199334546565146,3.9690287305460363,0.2724408341530285,4.056545859251961,0.24923019141608843,2
6,93,12,2,0.2595953575643839,4.015036343260188,0.24589351844489363,4.098600478122381,0.24431408049815234,9
13,288,15,3,0.4379177920080274,4.007325790120056,0.2531795584186966,4.092083289996248,0.24841801966300917,6
6,96,12,2,0.41043200828927184,4.027160590654084,0.25511043979608705,4.112189448921434,0.24691239804512158,10
4,109,13,1,0.21600073769850475,4.011088282137752,0.25506672808719,4.095553803830064,0.24735463873345231,11
5,134,15,2,0.49140604149534706,4.0799158441614445,0.24087598839010602,4.157381549455133,0.243714161168306,11
7,80,19,2,0.4178109280198589,4.041770699557326,0.24898261242107594,4.119488796708192,0.2420836784280703,9
5,318,21,3,0.08359992537418076,4.031132722378882,0.2542179707466988,4.109469896774736,0.25081729240188894,6
4,137,16,2,0.3821621145750029,4.191694745507532,0.21671754433795337,4.244448147956454,0.22460148128546442,7
8,89,29,2,0.3696400733688122,4.090698928946981,0.2536606127100768,4.157640904064573,0.25034391515715215,3
16,242,14,3,0.04989048256498385,3.9679471804810356,0.2668070465109432,4.063494212018652,0.252934061323459,3
6,360,25,3,0.4322484544288551,4.097614354822328,0.25867270162829037,4.158293663889038,0.24370464379052775,6
253,80,38,1,0.030059391042235484,3.984099621968613,0.25688179921814513,4.064290083143864,0.24708657816110904,3
6,145,17,2,0.4639119702643456,4.043990940004471,0.25357050260754366,4.130223762267054,0.24471727382507863,10
112,64,26,2,0.3537903762504767,3.9841128298843866,0.26427163864155095,4.0285765521330426,0.259794480314898,2
48,245,13,3,0.40549788227038686,3.9839716517369435,0.269226344621724,4.063401701012454,0.2593678576068498,4
7,501,33,3,0.46586377435038695,4.151425414180386,0.22706254368404707,4.211676747074003,0.22755741188028142,5
4,139,12,2,0.1573860967709343,4.019436429166812,0.2554269782925335,4.101244000700298,0.25086411457084645,7
11,311,22,3,0.47386812872633155,4.049975574142929,0.2528613040682157,4.1474292850606105,0.2444423753906405,4
54,784,8,3,0.17611673925360288,3.992178087285454,0.2684848855053062,4.077113860186864,0.2514168397283484,2
5,121,13,1,0.24597026398476524,4.026029094945604,0.247249021683761,4.100446229311134,0.24895809993292214,6
200,80,7,3,0.0014104929685845868,3.940318378527795,0.26418551451198113,4.048162441387375,0.2501414445602723,2
11,75,35,1,0.4844687046665694,4.0145896528829565,0.25689103520920153,4.100089969885412,0.246938707770798,9
82,213,2,2,0.1481638538864934,3.9820029384335007,0.26294897580513893,4.053569591171512,0.25192831135761307,1
4,168,16,1,0.4983541080087755,4.228706483141142,0.2254087412059392,4.305771098161818,0.22591204645560456,5
457,228,39,1,0.1009817387351522,3.985772974147101,0.2587886730399569,4.067127681521996,0.24798268984240468,2
8,717,61,2,0.1527468026185244,4.084974130453834,0.24891326177308343,4.148470119981591,0.24686244023592818,3
4,407,35,3,0.06891402573535227,4.057028560619038,0.2497318621683787,4.103048019952546,0.25362179719825634,8
231,163,5,1,0.15752767420865715,3.988443396470771,0.258353446677665,4.044894847961735,0.24786632482782564,2
5,161,27,2,0.1209754601177927,4.044448124617994,0.2507481742317981,4.125268932069569,0.24974520799050842,5
8,640,45,1,0.3923130467028266,4.031453833316307,0.25524339885516767,4.103975008705216,0.248815004898844,8
9,71,23,2,0.2810967421415443,4.06188153839291,0.24777345498485182,4.118676835465569,0.24629926063825702,5
